t,S_alpha=0.9,I_alpha=0.9,R_alpha=0.9,S_alpha=0.8,I_alpha=0.8,R_alpha=0.8,S_alpha=0.7,I_alpha=0.7,R_alpha=0.7,S_alpha=0.6,I_alpha=0.6,R_alpha=0.6,S_alpha=0.5,I_alpha=0.5,R_alpha=0.5,S_alpha=0.4,I_alpha=0.4,R_alpha=0.4,S_alpha=0.3,I_alpha=0.3,R_alpha=0.3,S_alpha=0.2,I_alpha=0.2,R_alpha=0.2,S_alpha=0.1,I_alpha=0.1,R_alpha=0.1
5.0,0.23670818990846915,0.22020390340075557,0.5492618263257055,0.26639555065584486,0.21286394583249624,0.5379015501946279,0.2943227352316984,0.20719488619115056,0.5246141414044307,0.3200752698266292,0.20231187614684,0.5080775054824785,0.343318928386834,0.19806596783332975,0.48862418755559794,0.3638385214707919,0.1945693106055816,0.46744146226196237,0.38158739590125235,0.19196070421559425,0.44594188914357835,0.39669907106812174,0.19031804866828514,0.4253546619244557,0.40945172465248103,0.1896467069811733,0.40652889071975873
5.5,0.22542244206467013,0.20840393373706756,0.572318676331316,0.25762213437457376,0.20287258727822613,0.5564231526955616,0.2876199266418935,0.19884362157266502,0.5390501950598879,0.3150671216709008,0.19547757353888928,0.5189111313135509,0.33967118851821604,0.19263634968132426,0.4964242938493591,0.3612642089448733,0.1904301992944812,0.4728109374749896,0.37985793473687723,0.18899823836880617,0.4494370878424978,0.39564707645313646,0.1884265959017443,0.4274222753237814,0.4089631074000061,0.1887361396143665,0.40747697212369277
6.0,0.21553012439560826,0.19690789608292614,0.5936784895327029,0.24994095722366869,0.1933231324999235,0.5734285392252251,0.2817483511469108,0.1909901318368392,0.5522146821328522,0.3106666968413738,0.18913634645603034,0.5287509569749272,0.3364479428097255,0.18765167837253643,0.5035045780868155,0.3589724073373861,0.1866605067467391,0.47769954628149297,0.3783062571172133,0.18631572705384047,0.45263839788683885,0.3946971810739229,0.18672101647991918,0.42932998906879966,0.40852022150745443,0.18791767717849148,0.408357288906555
6.5,0.20684260543007418,0.18580182698704126,0.6134441584992156,0.24319053310723746,0.18423320721483769,0.58905954595366,0.27657487507555495,0.18360769492270634,0.5642588652093797,0.30677035115940415,0.1832366883475776,0.53773421986315,0.3335739742798014,0.1830514982570983,0.50997373642581,0.35691260018811494,0.1832025276080871,0.4821828087543115,0.3769011874546551,0.18386575675303093,0.4555914737443084,0.3938321734075936,0.185168288036023,0.43110111045845145,0.4081156798275113,0.18717448797436753,0.40917870722991395
7.0,0.1991986781501775,0.17514480148789352,0.6317179741551228,0.23723758449495,0.17560750915763174,0.6034429746538059,0.2719928439046647,0.17666820576924452,0.5753105894423545,0.30329707927980254,0.17773389913831567,0.5459726439115831,0.3309915437932085,0.17878665652899486,0.5159180083828361,0.35504635056871836,0.18001100132787648,0.4863197667630827,0.375618948641109,0.18161196158681503,0.45833195792074055,0.3930387545323779,0.18374343531665555,0.4327541294307755,0.40774366666162887,0.18649394922444198,0.40994851762748763
7.5,0.19246056928144012,0.16497449016183127,0.6486001161103885,0.23197135701774677,0.16744155191935914,0.6166925224453277,0.2679157922356793,0.17014344456989694,0.585478916685337,0.300182550835426,0.17258904381732898,0.5535584069855516,0.3286554669233385,0.17481666010980162,0.5214069642640704,0.353343779177285,0.17704978446114863,0.4901574705033185,0.374441011887988,0.17952585093676612,0.4608882400378882,0.3923064569704953,0.18242712013025897,0.4343039739687248,0.40739954584538485,0.18586635498828774,0.4106727674186769
8.0,0.1865104564718826,0.15531181237597114,0.6641875151773527,0.22729923693093745,0.15972445657879472,0.628910347168604,0.2642728861256535,0.16400586096845476,0.594857610437609,0.29737496585497347,0.16776807855882447,0.5605684349615521,0.3265297936859555,0.17110776215980983,0.5264975331880511,0.35178123066696904,0.17428956255433287,0.4937340298668863,0.3733526712530351,0.17758469575563415,0.46328331922185245,0.39162690701585656,0.18120406857723065,0.4357628782888117,0.40707957482434226,0.1852840841219787,0.41135651789835187
8.5,0.18124746124950908,0.14616477247093904,0.678573043897163,0.22314333307259138,0.15244102774949864,0.640188381210938,0.26100555696358135,0.15822904238609087,0.6035278177851494,0.29483210506505,0.16324112142813876,0.5670675649271888,0.32458550657360313,0.16763154939408276,0.531236879856261,0.35033967940254557,0.1717062359326397,0.49708075003169533,0.3723420689887683,0.17577007740813896,0.4655361002394987,0.3909933093296487,0.18006200978637965,0.43714099976457527,0.4067806961767738,0.18474104474359837,0.4120040420678996
9.0,0.1765850748850597,0.13753158178924024,0.6918449806307037,0.21943778496175476,0.14557329115585746,0.6506094593597874,0.2580649740432223,0.1527879753866156,0.6115601725961197,0.292519186737858,0.15898184436673715,0.5731109222483133,0.32279888596162554,0.16436388074317118,0.5356645052481738,0.34900361139540276,0.16927975500251286,0.5002236633441998,0.37139951129304616,0.17406686519387635,0.4676623193349992,0.3904000790084535,0.17899093906570604,0.43844686760348195,0.4065003844022346,0.1842322918614346,0.4126189770782359
9.5,0.17244896902761256,0.1294031715514598,0.7040866934589117,0.21612662492973678,0.13910162588856614,0.6602483010919327,0.2554101192964891,0.1476591716306786,0.6190164707280323,0.2904072810604503,0.15496696560302575,0.5787457378407044,0.3211503248794338,0.1612840774172553,0.5398138105372836,0.34776022209127333,0.16699326305066658,0.5031846518876981,0.3705169768006636,0.17246247941594242,0.46967522056815036,0.3898425737822991,0.17798259352216295,0.43968771579851684,0.40623653206781624,0.18375375725364546,0.4132044425458011
