t,S_h=0.5_x,I_h=0.5_x,R_h=0.5_x,S_h=0.5_y,I_h=0.5_y,R_h=0.5_y,S_h=0.5_x,I_h=0.5_x,R_h=0.5_x,S_h=0.5_y,I_h=0.5_y,R_h=0.5_y
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
0.5,0.4626946100024069,0.30322285475744354,0.2391962358513273,0.46308419746287055,0.30313245368113656,0.25160823306766017,0.46434968770856067,0.3026765941497743,0.2672464707058556,0.4647268645414018,0.3004602838045184,0.285637050848491
1.0,0.42967451395484924,0.30261718753170047,0.27363966649553295,0.4300206090842799,0.2995614551934812,0.28978538617725363,0.4309969624928116,0.295563897011847,0.30819908321669015,0.4311637787263927,0.2892409159435188,0.32752287344917547
1.5,0.4005244618378344,0.2997529808397277,0.30589751742068083,0.4025127460732531,0.29384004769547933,0.32301755655909326,0.4052761052457267,0.2869405472961819,0.34113701808125574,0.40773365013393414,0.2778910837108003,0.358433890307975
2.0,0.3746183822960006,0.2951443905091346,0.3364944626474893,0.3792018110402176,0.28686518555558105,0.3530044904677577,0.3846652540152603,0.27789099549708257,0.3693287113499282,0.3901309649778769,0.2672730647371015,0.38346123838393414
2.5,0.351516289060803,0.2891500028793569,0.36561221695806617,0.35917093090085644,0.2790879779581361,0.380453275945003,0.36767029057310546,0.26878952955677854,0.3941180444794805,0.3762410478311727,0.2574526334640296,0.40459480386304614
3.0,0.33087672128367807,0.282065332402473,0.3933308888249115,0.3417886296021866,0.27080645458820496,0.40576079285251965,0.3533720066006497,0.25981939030310625,0.4162507740250695,0.36491157074556047,0.2483768040117289,0.4228873490573593
3.5,0.3124154292549233,0.27414354353441717,0.41969563815523464,0.32659294848681114,0.2622358102202031,0.42919177807911263,0.3411615992723194,0.25108205340686257,0.43620995228780257,0.3554476850277546,0.23997419124157834,0.4389869625419309
4.0,0.29588693747854833,0.265602534806236,0.44474058431512864,0.3132303905463372,0.2535363482892031,0.4509434804798056,0.33061224038961207,0.24263514801558508,0.45433878130565303,0.3473982121276053,0.23217576804363976,0.4533304967233511
4.5,0.2810755635081767,0.25662870319641495,0.4684983087425286,0.3014218971590694,0.24482856119300322,0.47117392905239264,0.3214118004870621,0.23451003372228843,0.47089618075277356,0.34045372852799893,0.22491941144463046,0.4662306992907447
5.0,0.26779043590539675,0.2473799121963465,0.4910035715331873,0.29094231015214544,0.23620284083274243,0.4900158956980818,0.3133246420895762,0.226721434278605,0.4860856864590984,0.3343929923180648,0.21815038906212278,0.47792127007576024
5.5,0.25586225962293135,0.23798831899362474,0.5122944735164976,0.28160706194409374,0.22772636808848007,0.5075844443157883,0.30616841622296326,0.2192732576918805,0.5000720693596028,0.3290525419587142,0.2118207625202723,0.4885825220443545
6.0,0.24514087709823723,0.2285631803673538,0.5324124525456462,0.2732630390510787,0.21944826199391576,0.5239813279038232,0.29979919150988454,0.21216232253695344,0.5129916510697644,0.32430837075482755,0.2058885526118461,0.4983570769056577
6.5,0.23549322236432602,0.21919360264563847,0.5514017659063666,0.26578202209156077,0.21140353748015214,0.5392977267040228,0.294101502804174,0.20538083027424173,0.5249591021292251,0.3200643310643035,0.20031692152082667,0.5073600067850015
7.0,0.22680150260328993,0.2099511703905529,0.5693087807993511,0.25905581033059516,0.2036161939608422,0.553616064014951,0.288981454501213,0.19891804227036552,0.536072142344685,0.3162444993839934,0.19507344474808516,0.5156856781976228
7.5,0.21896154327408934,0.20089239779378615,0.5861812344857844,0.25299250129829,0.19610164567954805,0.5670112844045964,0.28436180133508593,0.1927614325294148,0.5464149196264125,0.31278798022118354,0.19012948528027707,0.5234125361368459
8.0,0.2118812745127357,0.1920609662849797,0.6020675432274912,0.24751359362999784,0.1888686425745235,0.5795518044738157,0.28017835457170115,0.18689748537952458,0.5560605175804914,0.30964526944813353,0.18545966297185904,0.5306065469553575
8.5,0.20547935147862337,0.1834897308358421,0.6170161953031457,0.24255169501701318,0.18192079175325301,0.5913002552627626,0.27637730285358086,0.18131224810099608,0.5650728661802444,0.30677564743187785,0.18104140671631527,0.5373237372721845
9.0,0.19968390501803443,0.17520249249525088,0.6310752397917182,0.23804868597979914,0.17525776352466613,0.6023140859729351,0.2729131800757735,0.17599171209247694,0.5735082298577068,0.30414527120141355,0.17685457660472118,0.543612105546774
9.5,0.19443141842876227,0.1672155453132587,0.644291870295963,0.23395423375358035,0.16887624717445765,0.6126460709821983,0.26974730079819514,0.17092207291498832,0.581416387942016,0.3017257526623409,0.1728811445531894,0.5495130872886504
10.0,0.18966572434191623,0.15953901256747255,0.6567120964654104,0.2302245793082579,0.1627707076611246,0.6223447461921322,0.26684653975786593,0.1660899042300823,0.5888415856640444,0.29949308194925844,0.16910492357010423,0.5550626957311412
10.5,0.18533711406215353,0.15217799094782894,0.6683804933776021,0.2268215401503413,0.1569339836856726,0.6314547913647338,0.26418236872985784,0.1614822703098379,0.5958233104767844,0.29742680045692405,0.16551133747044208,0.5602924220550769
11.0,0.18140155055414678,0.14513352291642595,0.6793400180113268,0.22371168537296324,0.15135775924714198,0.6400173694690144,0.26173008859691504,0.15708679468892783,0.6023969329712141,0.29550935750904983,0.16208722427937897,0.5652299544809899
11.5,0.17781997568821445,0.1384034175337612,0.689631882301253,0.22086564940204204,0.14603293424590186,0.6480704306057117,0.2594682113635151,0.15289169756837295,0.6085942411896358,0.29372560411136034,0.15882066777291487,0.5698997588919743
12.0,0.17455770227442197,0.13198293916969195,0.6992954730734593,0.2182575582535884,0.14094991452119787,0.6556489859214648,0.25737795864793983,0.1488858110753693,0.6144438898667582,0.2920623904159185,0.15570085259589303,0.5743235522015412
12.5,0.17158388169518968,0.12586538209112444,0.7083683102172963,0.21586454765194035,0.1360988376041101,0.6627853555467157,0.25544285157696334,0.14505857898136898,0.6199717809702288,0.29050824260617436,0.15271793920754356,0.5785206916585733
13.0,0.16887103846995075,0.12004254721557149,0.716886035572511,0.21366635657919297,0.13146974720197604,0.6695093936900944,0.25364837306848537,0.14140004567926773,0.6252013881798921,0.2890531012773942,0.14986295556279985,0.5825084975610078
13.5,0.16639466375169304,0.11450513552635766,0.7248824261022755,0.21164498308453866,0.12705272682855062,0.6758486934143095,0.25198168792611453,0.1379008379146694,0.6301540351959933,0.28768810791700333,0.1471277029722289,0.5863025227061056
14.0,0.16413286048889317,0.10924307088068501,0.7323894259309349,0.20978439172440158,0.12283800091790557,0.6818287731946556,0.2504314094614701,0.1345521418140464,0.6348491357089522,0.2864054293586003,0.14450467401821923,0.58991677886045
14.5,0.16206603373415673,0.10424576327764032,0.7394371927268618,0.2080702640053404,0.11881601010113475,0.6874732470540317,0.24898740382915482,0.13134567705516523,0.6393044013008182,0.28519811247331045,0.1419869807595465,0.593363928266431
15.0,0.1601766203074554,0.09950232212832179,0.7460541546994129,0.20648978478904942,0.11497746599802414,0.6928039798365869,0.24764062513088914,0.12827366951244978,0.6435360223462522,0.284059963129998,0.13956829174628385,0.596655446494812
15.5,0.15844885270542117,0.0950017277013755,0.7522670751578926,0.20503145888644667,0.11131338981345143,0.6978412290000916,0.2463829757774489,0.12532882333211276,0.6475588260447732,0.28298544477792753,0.13724277660482295,0.5998017616529776
16.0,0.1568685527767541,0.0907329677069972,0.7581011221577434,0.20368495308626353,0.10781513817689363,0.7026037741589374,0.24520718770265984,0.12250429311302981,0.6513864149792491,0.2819695930041776,0.13500505714854535,0.6028123739585711
16.5,0.15542295125225603,0.08668514492484097,0.7635799412454858,0.20244095968614034,0.10447441898053675,0.7071090354851676,0.244106720884184,0.11979365666345552,0.6550312890100373,0.2810079431797011,0.1328501641314578,0.605695958911966
17.0,0.15410052972567312,0.08284756086533741,0.7687257297202292,0.20129107826190626,0.10128329942331211,0.7113731819677157,0.24307567630063007,0.11719088865182917,0.658504952844628,0.28009646889376255,0.1307734988962537,0.6084604566932043
17.5,0.1528908821306337,0.07920977966631058,0.7735593111667864,0.20022771295509215,0.09823420802783134,0.7154112304359709,0.24210872098741681,0.11469033535818342,0.6618180112430557,0.2792315293308457,0.12877079927990948,0.6111131499293069
18.0,0.15178459315336484,0.07576167575336687,0.7781002092935531,0.19924398300442378,0.09531993204322103,0.7192371361701202,0.2412010232774456,0.11228669065079691,0.6649802535101844,0.27840982409921106,0.12683810923317504,0.6136607315964073
18.5,0.15077313136531367,0.0724934682193945,0.7823667203364123,0.19833364461338435,0.092533611362172,0.7228638758456297,0.24034819665147408,0.10997497325312162,0.668000728672485,0.27762835429979066,0.12497175168846247,0.6161093645156928
19.0,0.14984875515932058,0.0693957443925699,0.7863759834759435,0.19749102254816198,0.08986872985145657,0.726303523491408,0.23954625089567363,0.10775050532302236,0.6708878125277606,0.2768843888456009,0.12316830427635458,0.6184647336560196
19.5,0.149004429832616,0.06645947465153039,0.7901440488660718,0.19671095011051307,0.08731910481081397,0.7295673200797282,0.23879154948435702,0.10560889233577249,0.6736492675827053,0.27617543521851384,0.1214245775463932,0.620732092256451
20.0,0.1482337543844105,0.0636760202001143,0.793685942993883,0.19598871633790654,0.08487887512671971,0.7326657373101274,0.2380807722851382,0.10354600424090137,0.6762922967483657,0.2754992139919556,0.1197375953947271,0.6229163026192165
20.5,0.14753089678963552,0.06103713522281932,0.7970157311876837,0.19532001945651956,0.08254248856812883,0.7356085360986968,0.23741088283027398,0.10155795784851618,0.678823591542178,0.274853636562466,0.1181045774410325,0.6250218722901354
21.0,0.14689053667746652,0.05853496459761777,0.8001465771677714,0.19470092575742448,0.08030468857520189,0.7384048202379377,0.2367790995181702,0.09964110039135185,0.6812493754429938,0.27423678562583115,0.11652292313102994,0.6270529862335723
21.5,0.146307814487201,0.056162038137854184,0.8030907995953106,0.19412783318768911,0.07816050081476503,0.7410630856502808,0.23618287020816922,0.09779199420318965,0.6835754429590127,0.27364689800914765,0.11499019736988352,0.6290135355179289
22.0,0.145778286298021,0.053911262163481855,0.8058599256222162,0.19359743905015883,0.07610521971419279,0.7435912656200758,0.23561984975379938,0.09600740245142744,0.6858071948951099,0.2730823495321642,0.11350411751656404,0.6309071429519245
22.5,0.14529788363590893,0.05177590905863084,0.8084647414814669,0.19310671129173415,0.0741343951356112,0.7459967723540217,0.2350878800878874,0.09428427586072338,0.6879496702434168,0.2725416416222637,0.11206254159054804,0.6327371860486285
23.0,0.1448628776529229,0.04974960535296624,0.810915340184885,0.19265286293269332,0.07224381931243756,0.7482865351883523,0.23458497252985386,0.09261974036519134,0.6900075750674917,0.27202338944963167,0.11066345756055142,0.6345068176411223
23.5,0.1444698471532382,0.047826318764704445,0.8132211664158083,0.19223332925126296,0.07042951413840713,0.7504670357323026,0.23410929203317105,0.09101108562818706,0.6919853087044334,0.27152631138417754,0.10930497360081363,0.6362189844289533
24.0,0.14411565000865215,0.0460003445602999,0.8153910587186802,0.19184574739002896,0.06868771887384038,0.7525443402112281,0.23365914313102298,0.08945575437095055,0.6938869875697488,0.2710492196049668,0.107985309214129,0.6378764436967558
24.5,0.14379739756515414,0.044266291516991386,0.8174332890975079,0.19148793809540693,0.06701487831374561,0.7545241292490072,0.23323295737197183,0.08795133245403941,0.6957164668156136,0.2705910117173445,0.1067027871326884,0.6394817784143536
25.0,0.1435124316930218,0.042619067717320915,0.819355600141375,0.1911578893394979,0.06540763144641558,0.7564117253077942,0.23282928206600478,0.08649553965841075,0.6974773600636018,0.2701506632534472,0.10545582591810496,0.6410374109003595
25.5,0.1432583041768671,0.0410538663574964,0.8211652397985071,0.1908537416062691,0.06386280061865626,0.7582121179836024,0.23244677018556953,0.08508622111606425,0.6991730574072771,0.2697272209490841,0.10424293319098052,0.6425456152080061
26.0,0.14303275818007527,0.039566151712444486,0.8228689939213867,0.1905737746519806,0.062377381214019596,0.7599299873384419,0.23208417128683073,0.08372133934324384,0.7008067418577015,0.2693197967045887,0.10306269942821013,0.6440085283719613
26.5,0.14283371155102123,0.038151645368241345,0.8244732167046754,0.19031639557382793,0.06094853184286232,0.7615697254336048,0.23174032333397926,0.0823989668322505,0.7023814043854133,0.2689275621496391,0.10191379227308045,0.6454281606377421
27.0,0.1426592417670026,0.036806312806180505,0.8259838591355684,0.19008012804149943,0.05957356503729105,0.7631354562140517,0.2314141453244862,0.08111727916088819,0.7038998576954054,0.2685497437426006,0.10079495130923047,0.6468064047805677
27.5,0.14250757233661823,0.0355263504010834,0.8274064955731015,0.18986360256423837,0.058249938439725035,0.7646310538805768,0.2311046306261189,0.0798745485814252,0.7053647488566609,0.2681856183439504,0.09970498325482159,0.6481450446077253
28.0,0.14237706050287563,0.0343081728787873,0.8287463485690479,0.18966554768148206,0.056975246470625185,0.766060159874357,0.23081084094764698,0.0786691380536756,0.7067785708947314,0.26783450921104773,0.09864275753791092,0.6494457627274675
28.5,0.14226618610806577,0.033148401263381665,0.8300083120386744,0.18948478197857366,0.055747212458674394,0.7674261985875657,0.23053190087475162,0.07749949568938505,0.7081436734442615,0.267495782368138,0.09760720221811595,0.6507101476578513
29.0,0.14217354149778763,0.0320438513331552,0.8311969728848926,0.18932020684069634,0.05456368121515811,0.7687323919037633,0.23026699291094033,0.07636414957753067,0.7094622725482157,0.2671688433111647,0.09659730022327634,0.6519397003405905
29.5,0.14209782235577573,0.030991522594888635,0.8323166311744148,0.18917079986832994,0.053422612033333185,0.7699817726627739,0.2300153529704375,0.07526170296241724,0.7107364596815636,0.26685313401188054,0.09561208587301684,0.6531358401176752
30.0,0.1420378193736466,0.029988587778693794,0.8333713189595036,0.1890356088863738,0.05232207209306751,0.7711771971365388,0.2297762662762606,0.07419082974857417,0.7119682100692214,0.2665481301899972,0.09465064166395132,0.654299910222157
30.5,0.14199241067059104,0.029032382849730056,0.8343648178338684,0.1889137464868082,0.05126023025087891,0.7723213565949896,0.22954906362210908,0.07315027030843183,0.7131593903610177,0.26625333882579755,0.09371209529378464,0.6554331828288944
31.0,0.14196055488759962,0.0281203975285514,0.8353006753062889,0.18880438505152894,0.05023535119562115,0.7734167880342141,0.22933311796142347,0.07213882757058968,0.7143117657201693,0.26596829588883253,0.09279561690380499,0.6565368637061555
31.5,0.1419412848891957,0.02725026630832182,0.8361822200706858,0.18870675220791475,0.049245789950391805,0.7744658841330087,0.2291278412910986,0.07115536336818636,0.7154270063762076,0.26569256426111926,0.09190041652125316,0.6576120965046437
32.0,0.14193370201302477,0.026419759954495838,0.8370125762466234,0.1886201266748967,0.04828998670171958,0.775470902498325,0.22893268180095602,0.0701987950284555,0.7165066936883129,0.2654257318356845,0.09102574168483014,0.6586599667167172
