t,alpha=0.99,alpha=0.95,alpha=0.9,alpha=0.85,alpha=0.75,alpha=0.5,alpha=0.25,alpha=0.05,alpha=0.01
0.13,1.0000859839206209,1.0018084832734055,1.005799621258033,1.0104006764013587,1.0180041383578144,1.0191427497452503,1.0079525384768386,1.0010798317292513,1.0001959624233276
0.135,1.000086017638776,1.0018064660560846,1.005782225380326,1.01034988901643,1.0178484249978577,1.0187971724761251,1.0077343250632085,1.0010421076611702,1.0001888229787947
0.14,1.0000860478466835,1.001804476042978,1.005765357300513,1.0103009089767774,1.0176991874198995,1.0184696456424527,1.0075295874548484,1.0010069926675038,1.0001821878037467
0.145,1.0000860749420235,1.0018025146357994,1.0057489897386584,1.0102536223375134,1.017555959010676,1.0181586518330212,1.0073370626877498,1.0009742231240513,1.0001760052188295
0.15,1.0000860992675202,1.0018005827652448,1.0057330971351897,1.0102079250725433,1.017418319937357,1.0178628462912749,1.0071556438625822,1.000943569890361,1.0001702303778768
0.155,1.000086121119946,1.0017986809942763,1.0057176555646885,1.0101637220130366,1.0172858912365426,1.0175810324695924,1.0069843564998417,1.0009148328384934,1.0001648241742396
0.16,1.0000861407574257,1.001796809598695,1.0057026426414941,1.0101209259150168,1.0171583297928177,1.017312141682078,1.0068223390968989,1.0008878363927831,1.0001597523507053
0.165,1.000086158405404,1.0017949686303067,1.0056880374225825,1.0100794566395859,1.017035324053185,1.0170552160683375,1.0066688270367667,1.0008624258689638,1.0001549847701137
0.17,1.00008617426155,1.0017931579666628,1.0056738203112394,1.0100392404312066,1.016916590353387,1.0168093942501935,1.006523139190124,1.000838464450214,1.0001504948138045
0.17500000000000002,1.0000861884998147,1.001791377350376,1.0056599729637303,1.010000209281287,1.0168018697555359,1.0165738991926,1.0063846666964569,1.000815830674374,1.0001462588824979
0.18,1.0000862012738025,1.0017896264202992,1.0056464782002843,1.009962300365979,1.0166909253150196,1.016348027879549,1.0062528635197396,1.0007944163341878,1.000142255979815
0.185,1.000086212719592,1.0017879047363145,1.00563331992112,1.009925455548595,1.0165835397094323,1.0161311424928883,1.0061272384580089,1.0007741247134103,1.0001384673629015
0.19,1.000086222958104,1.0017862117990808,1.0056204830278332,1.0098896209383343,1.0164795131741295,1.0159226628422988,1.0060073483509664,1.000754869097669,1.0001348762478701
0.195,1.0000862320970996,1.0017845470657922,1.0056079533502176,1.0098547464981593,1.0163786616985586,1.015722059842051,1.0058927922801244,1.0007365715113696,1.0001314675602782
0.2,1.000086240232878,1.0017829099627555,1.0055957175784072,1.0098207856956356,1.0162808154452307,1.0155288498677582,1.0057832065954682,1.000719161641559,1.0001282277228087
0.20500000000000002,1.0000862474517145,1.0017812998954363,1.0055837632001376,1.009787695191398,1.0161858173595053,1.0153425898562318,1.0056782606337253,1.000702575917214,1.0001251444738362
0.21,1.0000862538310968,1.0017797162564692,1.0055720784428543,1.0097554345606292,1.0160935219434808,1.0151628730355549,1.0055776530180096,1.0006867567183533,1.0001222067117603
0.215,1.0000862594407829,1.0017781584320384,1.005560652220364,1.0097239660435504,1.0160037941715236,1.0149893251917914,1.0054811084483186,1.0006716516940848,1.0001194043609376
0.22,1.0000862643437098,1.0017766258069438,1.0055494740837163,1.0096932543214672,1.015916508528435,1.0148216013944467,1.0053883749081804,1.0006572131724631,1.0001167282557897
0.225,1.0000862685967826,1.001775117768605,1.0055385341760041,1.0096632663153737,1.0158315481541447,1.0146593831155302,1.0052992212255016,1.0006433976480356,1.0001141700402782
0.23,1.0000862722515544,1.0017736337102081,1.0055278231907716,1.0096339710044917,1.0157488040812142,1.0145023756875124,1.0052134349360435,1.0006301653353904,1.0001117220804219
0.23500000000000001,1.00008627535482,1.0017721730331595,1.005517332333749,1.0096053392624793,1.0156681745534404,1.0143503060540786,1.00513082040637,1.0006174797789904,1.000109377387919
0.24,1.0000862779491333,1.0017707351489726,1.005507053287631,1.0095773437093214,1.015589564415515,1.0142029207746335,1.0050511971800535,1.0006053075111718,1.0001071295532686
0.245,1.0000862800732597,1.001769319480704,1.0054969781796521,1.009549958577165,1.0155128845651131,1.014059984249431,1.0049743985165955,1.0005936177515067,1.0001049726870355
0.25,1.0000862817625709,1.0017679254640144,1.0054870995517167,1.0095231595885898,1.015438051459975,1.0139212771370614,1.0049002700972223,1.000582382141803,1.0001029013681304
0.255,1.000086283049396,1.0017665525479345,1.0054774103328696,1.0094969238459597,1.0153649866735401,1.0137865949401512,1.0048286688756247,1.0005715745118995,1.0001009105981398
0.26,1.0000862839633275,1.00176520019538,1.0054679038139052,1.0094712297307058,1.0152936164935653,1.0136557467385463,1.0047594620549423,1.0005611706721627,1.0000989957609039
0.265,1.0000862845314924,1.001763867883484,1.0054585736239363,1.0094460568114956,1.015223871558872,1.0135285540521406,1.0046925261750288,1.0005511482291896,1.000097152586643
0.27,1.000086284778794,1.0017625551037561,1.0054494137087493,1.0094213857603775,1.0151556865299902,1.0134048498179686,1.0046277462962887,1.000541486421746,1.0000953771200531
0.275,1.0000862847281218,1.001761261362128,1.0054404183108012,1.0093971982760956,1.0150889997900188,1.0132844774682328,1.0045650152683203,1.0005321659743904,1.0000936656918658
0.28,1.000086284400547,1.001759986178889,1.005431581950709,1.0093734770138652,1.0150237531724493,1.013167290097705,1.0045042330731928,1.000523168966594,1.0000920148934382
0.28500000000000003,1.000086283815486,1.001758729088545,1.00542289941012,1.0093502055209669,1.0149598917131264,1.013053149710447,1.0044453062345795,1.0005144787154798,1.000090421554007
0.29,1.000086282990855,1.0017574896396122,1.0054143657158336,1.0093273681776054,1.0148973634238303,1.012941926537068,1.0043881472851306,1.000506079670547,1.0000888827202838
0.295,1.000086281943204,1.0017562673943692,1.0054059761250775,1.009304950142525,1.014836119085293,1.0128334984148488,1.0043326742854493,1.0004979573189794,1.0000873956381162
0.3,1.0000862806878363,1.0017550619285596,1.0053977261118425,1.0092829373029393,1.0147761120576821,1.0127277502240049,1.0042788103889124,1.0004900981003129,1.0000859577359744
0.305,1.000086279238921,1.0017538728310753,1.0053896113541885,1.0092613162283721,1.0147172981068366,1.012624573374173,1.0042264834472818,1.0004824893294,1.0000845666100542
0.31,1.000086277609586,1.001752699703617,1.0053816277224388,1.0092400741280547,1.0146596352447164,1.012523865335929,1.0041756256526928,1.0004751191267438,1.0000832200108158
0.315,1.0000862758120126,1.001751542160345,1.0053737712682023,1.0092191988115575,1.0146030835827136,1.0124255292127329,1.0041261732121471,1.0004679763553916,1.0000819158307992
0.32,1.000086273857507,1.0017503998275104,1.0053660382141425,1.0091986786523695,1.014547605196598,1.0123294733492472,1.0040780660510908,1.0004610505636773,1.0000806520935752
0.325,1.0000862717565788,1.001749272343091,1.0053584249444474,1.00917850255417,1.0144931640020318,1.0122356109724373,1.0040312475430806,1.00045433193319,1.000079426943715
0.33,1.0000862695190034,1.001748159356429,1.0053509279959356,1.0091586599195521,1.014439725639667,1.0121438598622468,1.003985664262886,1.0004478112314183,1.000078238637664
0.335,1.0000862671538802,1.0017470605278556,1.0053435440497565,1.0091391406209995,1.0143872573689765,1.0120541420490268,1.0039412657606661,1.0004414797685897,1.0000770855354328
0.34,1.0000862646696886,1.0017459755283367,1.0053362699236372,1.0091199349739144,1.0143357279700311,1.0119663835351767,1.0038980043551526,1.0004353293582737,1.000075966093015
0.34500000000000003,1.0000862620743343,1.0017449040391113,1.0053291025646278,1.009101033711539,1.0142851076525283,1.011880514038737,1.003855834943984,1.000429352281375,1.0000748788554656
0.35000000000000003,1.000086259375194,1.0017438457513421,1.005322039042318,1.0090824279616029,1.0142353679714462,1.0117964667569395,1.003814714829541,1.0004235412531755,1.0000738224505656
0.355,1.0000862565791582,1.0017428003657745,1.0053150765424843,1.0090641092245693,1.0141864817487527,1.0117141781478733,1.003774603558823,1.0004178893931348,1.0000727955830233
0.36,1.0000862536926647,1.0017417675923983,1.0053082123611357,1.0090460693533372,1.014138423000666,1.0116335877286726,1.0037354627760533,1.0004123901971764,1.0000717970291557
0.365,1.0000862507217332,1.0017407471501287,1.005301443898927,1.0090283005342997,1.014091166869995,1.0115546378887619,1.0036972560868356,1.0004070375122283,1.0000708256320048
0.37,1.000086247671998,1.001739738766486,1.0052947686559215,1.0090107952696412,1.0140446895631554,1.0114772737168445,1.0036599489328248,1.0004018255128044,1.0000698802968484
0.375,1.0000862445487337,1.0017387421772914,1.0052881842266692,1.0089935463607846,1.01399896829147,1.0114014428404607,1.0036235084759597,1.0003967486794398,1.0000689599870702
0.38,1.000086241356882,1.0017377571263744,1.0052816882955795,1.0089765468928966,1.0139539812164202,1.0113270952770514,1.0035879034914164,1.0003918017788103,1.0000680637203516
0.385,1.0000862381010767,1.0017367833652804,1.0052752786325725,1.0089597902203753,1.0139097073985317,1.0112541832955526,1.0035531042685206,1.0003869798453833,1.0000671905651628
0.39,1.0000862347856636,1.0017358206529978,1.0052689530889842,1.0089432699532404,1.0138661267496134,1.0111826612876722,1.0035190825189324,1.000382278164465,1.0000663396375187
0.395,1.00008623141472,1.001734868755694,1.0052627095937128,1.0089269799443736,1.0138232199880852,1.0111124856480442,1.0034858112914888,1.0003776922565217,1.0000655100979845
0.4,1.0000862279920768,1.0017339274464558,1.005256546149587,1.0089109142775279,1.013780968597172,1.0110436146625434,1.0034532648931367,1.000373217862666,1.0000647011489008
0.405,1.0000862245213302,1.0017329965050412,1.0052504608299382,1.0088950672560677,1.0137393547857305,1.0109760084041282,1.003421418815459,1.0003688509312028,1.0000639120318173
0.41000000000000003,1.0000862210058634,1.001732075717647,1.0052444517753698,1.0088794333923794,1.0136983614515336,1.0109096286355987,1.0033902496663298,1.0003645876051523,1.0000631420251107
0.41500000000000004,1.000086217448856,1.0017311648766718,1.0052385171907086,1.008864007397903,1.0136579721468146,1.0108444387187547,1.003359735106286,1.0003604242106647,1.000062390441776
0.42,1.0000862138532989,1.0017302637805,1.0052326553421171,1.0088487841737488,1.0136181710459151,1.0107804035294397,1.0033298537892388,1.0003563572462528,1.0000616566273735
0.425,1.0000862102220083,1.001729372233291,1.0052268645543758,1.0088337588018568,1.0135789429148887,1.0107174893780475,1.003300585307175,1.0003523833727779,1.0000609399581213
