t,I_alpha=0.95_perturbation=0.1,I_alpha=0.95_perturbation=0.01,I_alpha=0.95_perturbation=0.001,I_alpha=0.95_perturbation=-0.1,I_alpha=0.95_perturbation=-0.01,I_alpha=0.95_perturbation=-0.001,I_alpha=0.9_perturbation=0.1,I_alpha=0.9_perturbation=0.01,I_alpha=0.9_perturbation=0.001,I_alpha=0.9_perturbation=-0.1,I_alpha=0.9_perturbation=-0.01,I_alpha=0.9_perturbation=-0.001,I_alpha=0.8_perturbation=0.1,I_alpha=0.8_perturbation=0.01,I_alpha=0.8_perturbation=0.001,I_alpha=0.8_perturbation=-0.1,I_alpha=0.8_perturbation=-0.01,I_alpha=0.8_perturbation=-0.001,I_alpha=0.7_perturbation=0.1,I_alpha=0.7_perturbation=0.01,I_alpha=0.7_perturbation=0.001,I_alpha=0.7_perturbation=-0.1,I_alpha=0.7_perturbation=-0.01,I_alpha=0.7_perturbation=-0.001
0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.05,0.20102240260633256,0.20031774026157328,0.20024719355314047,0.19945449695561143,0.2001609499030598,0.20023151451749568,0.20187981307780567,0.20106500913963582,0.20098342081856824,0.20006646918325016,0.20088367507155563,0.2009652874120816,0.2046698061843038,0.2035809136118196,0.20347183052265463,0.2022452502315162,0.20333845879259702,0.20344758504150845,0.20823306846139167,0.20678758096902822,0.20664268707888092,0.2050123312262683,0.20646550910035083,0.20661047989386802
0.1,0.20175763586119358,0.2003891469619222,0.200252331132212,0.1987173876468842,0.20008512018615696,0.20022192845268114,0.2027965638711043,0.20125146501639693,0.20109700637228103,0.19936430994975454,0.2009082366052949,0.2010626835281519,0.20593757797991707,0.20396585371101986,0.20376879350268756,0.2015588199630482,0.20352797072095952,0.20372500519649317,0.20959131599232356,0.2070911102789759,0.2068413095044554,0.20404091863320273,0.20653605375986167,0.20678580383576073
0.15000000000000002,0.20240600923170002,0.2003973938132426,0.20019683840133434,0.1979500493052935,0.19995179148272876,0.20015227816194503,0.2035153907659899,0.2012849035732089,0.20106225574538222,0.19856875460716641,0.2007902307358157,0.2010127884524212,0.20671544352964974,0.20396300834630723,0.2036884405524902,0.2006158241966056,0.2033530269236434,0.20362744239073366,0.21017998441951397,0.20681177662302286,0.20647604757897028,0.2027224886927098,0.20606598659777697,0.20640146853599026
0.2,0.2029971226324921,0.20036660564574316,0.2001042722576184,0.19716941271692104,0.19978382153090518,0.200045993833011,0.2041336029493458,0.2012498003187773,0.2009623241043324,0.1977476807983383,0.20061118975949277,0.20089846303005907,0.20729936951031125,0.20383342274241129,0.20348823703895091,0.19963245750301714,0.2030666957008537,0.2034115642989519,0.21051385157611882,0.2063914782647957,0.20598134639349944,0.20140578251419802,0.20548060245667502,0.20589025874377745
0.25,0.20354064237490258,0.20030385250786667,0.19998142709599115,0.19637898279001043,0.19958766390287638,0.19990980821284476,0.20467976471238938,0.20116853726059133,0.2008189496424039,0.19691528652186335,0.20039205871421586,0.20074130175703744,0.207764879004538,0.20363612255165062,0.20322550912228307,0.19864635870281785,0.20272421383363776,0.20313431819378888,0.21070836712061466,0.2059128138053615,0.20543644610232806,0.2001314477595376,0.2048550187427382,0.20533066649292414
0.30000000000000004,0.20404110858382593,0.20021221256958496,0.1998312210796502,0.1955797148638998,0.1993660378460907,0.19974660357194754,0.20516623823937655,0.20104989493656142,0.2006405345613218,0.19607548226133883,0.20014077247542492,0.2005496222683418,0.20814162347469473,0.20339128292747483,0.20291945046499374,0.19766529238952507,0.20234356711340207,0.20281467880087226,0.21080507520645106,0.2053990503422086,0.20486274442376382,0.198899395469385,0.20420833821882953,0.20474367306725186
0.35000000000000003,0.2045011559255383,0.20009341564278818,0.1996552811129484,0.1947719320457128,0.19912044149065547,0.19955798364596802,0.20559977150246253,0.20089831139483977,0.2004312689734256,0.1952294711135938,0.19986121401644877,0.20032755916824205,0.2084447855119596,0.20310797039840847,0.20257849073994685,0.19669023494648233,0.20193240069770335,0.20246093365521875,0.21082420069903582,0.20485887234866493,0.20426774510231335,0.1977035560657673,0.20354661503804858,0.20413651917836798
0.4,0.20492253778024527,0.19994862143525208,0.19945469610574243,0.19395579287147094,0.1988518744702962,0.19934502133676807,0.20598465573365543,0.2007164784141642,0.20019366996357194,0.19437763314457546,0.19955568335074111,0.20007759036441763,0.20868365035896086,0.20279120347843593,0.2022072019397265,0.1957205084797272,0.2014947360286302,0.20207755504146438,0.21077783052883342,0.20429644313942097,0.20365480083044943,0.19653796548432917,0.20287220671265477,0.2035123769377982
0.45,0.20530653727174306,0.19977870825024133,0.1992302932200397,0.19313142489931465,0.19856109889258064,0.1991085321861463,0.2063239233988301,0.2005062624749666,0.19992947429193073,0.1935200935180677,0.19922575554135022,0.19980142347461258,0.20886462974237538,0.20244424543920844,0.20180851636337568,0.19475513821878615,0.2010330969961174,0.20166740131974786,0.21067425019979674,0.20371427358653343,0.20302583203902289,0.19539776232396502,0.2021863088862748,0.20287303525301092
