t,S_alpha=0.95,I_alpha=0.95,max_alpha=0.95,S_alpha=0.9,I_alpha=0.9,max_alpha=0.9,S_alpha=0.8,I_alpha=0.8,max_alpha=0.8,S_alpha=0.7,I_alpha=0.7,max_alpha=0.7
0.0,0.9,0.1,0.11220184543019635,0.9,0.1,0.12589254117941673,0.9,0.1,0.15848931924611132,0.9,0.1,0.19952623149688795
0.5,0.7857305205948725,0.18510230991225526,0.11220184543019635,0.7907088803157967,0.18149363446377942,0.12589254117941673,0.8047345776819814,0.17477644620409694,0.15848931924611132,0.8217063394191856,0.16803523064128312,0.19952623149688795
1.0,0.6224024301925672,0.3006414793377972,0.11220184543019635,0.6364512355386279,0.28769147240421816,0.12589254117941673,0.6671136512455061,0.26377820664238255,0.15848931924611132,0.6989023167432941,0.2408562463864479,0.19952623149688795
1.5,0.4394880291585499,0.41793287089577946,0.11220184543019635,0.4655250863612936,0.39409565841848027,0.12589254117941673,0.518940621165676,0.34988386993502285,0.15848931924611132,0.5726860859412686,0.3078952265841258,0.19952623149688795
2.0,0.2818817817768095,0.498471857838091,0.11220184543019635,0.31615597682511076,0.46894305455657936,0.12589254117941673,0.38733414702491853,0.4125572530360718,0.15848931924611132,0.4607682847433484,0.3574472601834021,0.19952623149688795
2.5,0.172623502831806,0.527601792055904,0.11220184543019635,0.20883646027536185,0.4995788795407275,0.12589254117941673,0.28722693470918115,0.44339296658264876,0.15848931924611132,0.37227823318517644,0.3851368386741251,0.19952623149688795
3.0,0.10646941203092004,0.5167517608485788,0.11220184543019635,0.14060605013178604,0.4946390498081179,0.12589254117941673,0.21820800179173958,0.44728191316380905,0.15848931924611132,0.30728502584752987,0.39391148316667796,0.19952623149688795
3.5,0.06869520778850376,0.48379837666323,0.11220184543019635,0.09946801171990907,0.4689431142876006,0.12589254117941673,0.17269452158749057,0.4339047721376545,0.15848931924611132,0.2611986813935029,0.38963339177661027,0.19952623149688795
4.0,0.04729355412693132,0.4418123943430153,0.11220184543019635,0.07483109746984822,0.4339477650365152,0.12589254117941673,0.14290322573009817,0.41153189109751986,0.15848931924611132,0.22876228283175173,0.37768301406807087,0.19952623149688795
4.5,0.03494021949749846,0.398089088979657,0.11220184543019635,0.059822749992200795,0.39637958701090975,0.12589254117941673,0.12315873729010027,0.3855113201517288,0.15848931924611132,0.20573682794676804,0.3618559895783656,0.19952623149688795
5.0,0.027602791347748352,0.35615157907755707,0.11220184543019635,0.050444449967285754,0.35966298730808255,0.12589254117941673,0.1098053559205189,0.3588522017022533,0.15848931924611132,0.18912883682379014,0.3444999358330248,0.19952623149688795
5.5,0.023117854940026182,0.3174855019041699,0.11220184543019635,0.044437701673496914,0.32534906959761206,0.12589254117941673,0.10058233991873658,0.33309736846100507,0.15848931924611132,0.17693008029364546,0.32695704604211984,0.19952623149688795
6.0,0.020314051235972103,0.2825609664744908,0.11220184543019635,0.04051825540620453,0.29401503932800166,0.12589254117941673,0.09409504816854657,0.30895949844251713,0.15848931924611132,0.16781067130120575,0.3099471223253388,0.19952623149688795
6.5,0.018540983967907248,0.2513660458205413,0.11220184543019635,0.03793861471034474,0.2657559760233298,0.12589254117941673,0.08946974811537424,0.28670481499514916,0.15848931924611132,0.16088473852765878,0.29382561139437163,0.19952623149688795
7.0,0.017425759029099597,0.22367362370413077,0.11220184543019635,0.036250283245769316,0.24044011998920978,0.12589254117941673,0.08614616735190765,0.26636824591555697,0.15848931924611132,0.15555333222452772,0.2787413803086323,0.19952623149688795
7.5,0.016747100675095286,0.19917276495570735,0.11220184543019635,0.035175228530444996,0.21783872400698734,0.12589254117941673,0.0837555720643328,0.24787047930848535,0.15848931924611132,0.15140384213959981,0.26472920689110935,0.19952623149688795
8.0,0.01636908781453056,0.1775325764357037,0.11220184543019635,0.034535379261910186,0.19769123677047817,0.12589254117941673,0.08204885171394437,0.23108071548703488,0.15848931924611132,0.14814632993146945,0.2517629829443379,0.19952623149688795
8.5,0.016205369838157246,0.15843241458759658,0.11220184543019635,0.034213046035098296,0.17973731470938648,0.12589254117941673,0.08085343788651403,0.2158498661598268,0.15848931924611132,0.14557303481189562,0.23978601820047396,0.19952623149688795
9.0,0.0161992818324323,0.14157522359525818,0.11220184543019635,0.034128099940674825,0.1637317793144112,0.12589254117941673,0.08004695476882936,0.20202773039639013,0.15848931924611132,0.14353229042259863,0.22872814904937733,0.19952623149688795
9.5,0.016312467526638015,0.12669240198229734,0.11220184543019635,0.03422444519500071,0.14945079978806958,0.12589254117941673,0.07954073230568859,0.18947148351761328,0.15848931924611132,0.141911448327489,0.21851526287473647,0.19952623149688795
10.0,0.016518181429196165,0.11354445772756966,0.11220184543019635,0.03446178003380389,0.1366935970823035,0.12589254117941673,0.0792692501709225,0.17804946719946432,0.15848931924611132,0.14062549824411602,0.20907446120231157,0.19952623149688795
10.5,0.0167972367806922,0.10191964108811204,0.11220184543019635,0.03481044620571158,0.12528192118694273,0.12589254117941673,0.07918322583033931,0.16764246266902433,0.15848931924611132,0.139609347245639,0.20033671612272969,0.19952623149688795
11.0,0.01713549055757996,0.09163168932578185,0.11220184543019635,0.03524812908326941,0.11505848978156884,0.12589254117941673,0.07924499089579505,0.15814364778681342,0.15848931924611132,0.13881248881238537,0.1922380920639686,0.19952623149688795
11.5,0.01752224479155817,0.08251727046812816,0.11220184543019635,0.035757694126495924,0.10588501464076497,0.12589254117941673,0.07942533523573271,0.14945790075996995,0.15848931924611132,0.13819525971258081,0.1847201559465271,0.19952623149688795
12.0,0.017949207649935534,0.0744334251646278,0.11220184543019635,0.036325737471708454,0.09764014173181913,0.12589254117941673,0.07970131187795143,0.14150081517783497,0.15848931924611132,0.13772616973982937,0.17772993918327898,0.19952623149688795
12.5,0.018409804358102574,0.06725515233248536,0.11220184543019635,0.03694159517076651,0.09021746877795833,0.12589254117941673,0.08005468308503984,0.1341976245500238,0.15848931924611132,0.1373799682123875,0.17121966373007907,0.19952623149688795
13.0,0.018898711447048192,0.06087320227739819,0.11220184543019635,0.03759665304829646,0.08352371624782548,0.12589254117941673,0.08047080214476796,0.12748214099656136,0.15848931924611132,0.13713622431586853,0.16514635558839516,0.19952623149688795
13.5,0.01941153637167812,0.05519209737127467,0.11220184543019635,0.03828385736495385,0.07747708044024768,0.12589254117941673,0.08093779634051913,0.12129576015946827,0.15848931924611132,0.13697827110345276,0.15947141670827433,0.19952623149688795
14.0,0.019944593463528122,0.05012837768937826,0.11220184543019635,0.03899736200450949,0.0720057723484932,0.12589254117941673,0.08144596145464686,0.11558655502026528,0.15848931924611132,0.13689241043841852,0.1541601951467678,0.19952623149688795
