t,y0=0.25_h=5,y0=0.25_h=2.5,y0=0.25_h=1.25,y0=0.25_h=0.625,y0=0.5_h=5,y0=0.5_h=2.5,y0=0.5_h=1.25,y0=0.5_h=0.625,y0=0.75_h=5,y0=0.75_h=2.5,y0=0.75_h=1.25,y0=0.75_h=0.625,scheme
25.625,,,,0.9997448731730356,,,,0.9999759946377333,,,,0.999994829508236,Niet-Standaard
26.25,,,0.9899191123840074,0.9998063036154412,,,0.9988282054486262,0.9999817764505444,,,0.9997301899489387,0.9999960748772698,Niet-Standaard
26.875,,,,0.9998529462551934,,,,0.9999861657169411,,,,0.9999970202871654,Niet-Standaard
27.5,,0.8623174672625932,0.9928492405068414,0.999888359325234,,0.9783536941685793,0.9991722422905708,0.9999894978172201,,0.9946867282323771,0.9998094857304818,0.9999977379853358,Niet-Standaard
28.125,,,,0.999915245535621,,,,0.999992027364648,,,,0.9999982828181314,Niet-Standaard
28.75,,,0.9949346090462237,0.999935657492471,,,0.9994153641645539,0.9999939476534906,,,0.9998654818571237,0.999998696421838,Niet-Standaard
29.375,,,,0.9999511539119976,,,,0.9999954054251645,,,,0.9999990104043314,Niet-Standaard
30.0,0.5731747522196502,0.9003014555698305,0.9964153063269238,0.9999629183657981,0.8817773296651542,0.9852031588526997,0.9995871251085772,0.9999965120791724,0.9669772199074675,0.9963971353474609,0.9999050220275517,0.9999992487604568,Niet-Standaard
30.625,,,,0.9999718495155925,,,,0.9999973521845483,,,,0.9999994297056721,Niet-Standaard
31.25,,,0.9974649197812644,0.9999786296661156,,,0.9997084474901291,0.99999798994168,,,0.9999329410219112,0.999999567068055,Niet-Standaard
31.875,,,,0.999983776836351,,,,0.9999984740879871,,,,0.9999996713450418,Niet-Standaard
32.5,,0.929159365126285,0.9982080779110976,0.9999876843061438,,0.9899194118348505,0.9997941311842362,0.9999988416221606,,0.9975589996494637,0.999952653778799,0.9999997505056436,Niet-Standaard
33.125,,,,0.9999906506475413,,,,0.9999991206314599,,,,0.9999998105994438,Niet-Standaard
33.75,,,0.9987338176035072,0.999992902528487,,,0.9998546392939233,0.9999993324380737,,,0.999966572051149,0.9999998562189125,Niet-Standaard
34.375,,,,0.9999946120272905,,,,0.9999994932285307,,,,0.9999998908503697,Niet-Standaard
35.0,0.6466489475965956,0.9503810881674072,0.999105527246367,0.9999959097786089,0.9162554396925806,0.9931483934145267,0.9998973660018473,0.9999996152906638,0.9775924983006139,0.9983471282865102,0.9999763989502126,0.9999999171404123,Niet-Standaard
35.625,,,,0.9999968949541634,,,,0.9999997079526475,,,,0.9999999370981726,Niet-Standaard
36.25,,,0.9993682244663941,0.9999976428401116,,,0.9999275352443595,0.999999778295859,,,0.9999833370870207,0.999999952248859,Niet-Standaard
36.875,,,,0.9999982105896829,,,,0.9999998316960441,,,,0.9999999637503145,Niet-Standaard
37.5,,0.965609268150511,0.999553824853512,0.9999986415904318,,0.9953504855049344,0.9999488369628915,0.9999998722341368,,0.9988812273276358,0.9999882356177111,0.9999999724815017,Niet-Standaard
38.125,,,,0.9999989687797064,,,,0.9999999030081292,,,,0.9999999791096742,Niet-Standaard
38.75,,,0.9996849275573836,0.9999992171616147,,,0.9999638771926633,0.9999999263698249,,,0.9999916941068355,0.9999999841413688,Niet-Standaard
39.375,,,,0.9999994057177892,,,,0.9999999441045668,,,,0.9999999879611173,Niet-Standaard
40.0,0.7179736987479433,0.9763428743217887,0.9997775210341243,0.9999995488579435,0.9417048385419696,0.9968482521082229,0.9999744962741265,0.9999999575676761,0.9848762056099987,0.9992429399961493,0.9999941358799393,0.9999999908608319,Niet-Standaard
40.625,,,,0.9999996575210571,,,,0.9999999677880286,,,,0.9999999930621143,Niet-Standaard
41.25,,,0.9998429099155713,0.9999997400113346,,,0.9999819937356541,0.9999999755466823,,,0.9999958598233429,0.9999999947331903,Niet-Standaard
41.875,,,,0.999999802632818,,,,0.9999999814365678,,,,0.9999999960017669,Niet-Standaard
42.5,,0.9838125475743885,0.999889083701423,0.9999998501711469,,0.9978651132526011,0.9999872871742111,0.9999999859078013,,0.9994877978626027,0.9999970769614509,0.999999996964791,Niet-Standaard
43.125,,,,0.9999998862592832,,,,0.9999999893020827,,,,0.9999999976958589,Niet-Standaard
43.75,,,0.9999216872224675,0.9999999136551457,,,0.9999910244824717,0.9999999918788092,,,0.9999979362838289,0.99999999825084,Niet-Standaard
44.375,,,,0.9999999344523757,,,,0.999999993834899,,,,0.999999998672147,Niet-Standaard
45.0,0.7828687290511902,0.9889644653660385,0.9999447078732807,0.9999999502403352,0.9599380694507117,0.9985546246019226,0.9999936631103052,0.9999999953198404,0.9898294714936131,0.9996535025059884,0.9999985429809908,0.9999999989919769,Niet-Standaard
45.625,,,,0.9999999622255688,,,,0.999999996447115,,,,0.9999999992347717,Niet-Standaard
46.25,,,0.9999609618429033,0.99999997132401,,,0.9999955260382981,0.9999999973028716,,,0.9999989713198822,0.9999999994190865,Niet-Standaard
46.875,,,,0.9999999782309786,,,,0.9999999979525085,,,,0.9999999995590068,Niet-Standaard
47.5,,0.9924957992587777,0.9999724379171523,0.9999999834743181,,0.999021774512911,0.9999968413027662,0.9999999984456723,,0.9997656184789988,0.9999992737345453,0.9999999996652255,Niet-Standaard
48.125,,,,0.9999999874547341,,,,0.9999999988200514,,,,0.9999999997458601,Niet-Standaard
48.75,,,0.9999805404658233,0.9999999904764173,,,0.9999977699044447,0.9999999991042566,,,0.9999994872444531,0.9999999998070729,Niet-Standaard
49.375,,,,0.9999999927702906,,,,0.9999999993200076,,,,0.9999999998535418,Niet-Standaard
50.0,0.838258605058005,0.9949059953789164,0.9999862611238766,0.999999994511656,0.9727198282117124,0.9993380924057257,0.9999984255141702,0.9999999994837923,0.9931774029665882,0.9998414659117324,0.9999996379860515,0.9999999998888182,Niet-Standaard
