t,S_h=5,I_h=5,R_h=5,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625
30.0,0.016766959811941637,0.0009605092714776581,0.9823540575596117,0.06133668484952461,0.003210066504011565,0.9355378390435828,0.07824378207046119,0.005982385466565368,0.9158597364811734,0.08562717737553986,0.0076611248726052355,0.9067979757009873
30.625,,,,,,,,,,0.08553372267744354,0.007019092361137166,0.9075334650346775
31.25,,,,,,,0.07816955590496749,0.004994988291690508,0.9169214020317468,0.08545469003068148,0.0064367317060995835,0.9081948600257879
31.875,,,,,,,,,,0.08538856312944312,0.0059083668494845695,0.9087893530704667
32.5,,,,0.06151360755592808,0.002256539941272298,0.936314664678023,0.07813282268381144,0.0041933720809998725,0.9177597891558088,0.08533398311691405,0.005428862129449313,0.9093234387169629
33.125,,,,,,,,,,0.08528973170116845,0.004993571823581972,0.909802981006741
33.75,,,,,,,0.07812534940232377,0.0035414137571795003,0.9184192544792719,0.08525471618969625,0.00459829414028028,0.9102332744488159
34.375,,,,,,,,,,0.08522795620581754,0.00423922932481224,0.9106190991974912
35.0,0.017575934223105664,0.0007424625267054792,0.9817640201027161,0.061724775810604794,0.0016612013501234595,0.9366990213520392,0.07814062779226533,0.0030100900414007517,0.9189353300130162,0.08520857188253537,0.003912941558366652,0.9109647709596441
35.625,,,,,,,,,,0.0851957733567889,0.0036163243432078135,0.911274186115489
36.25,,,,,,,0.07817350894469442,0.0025760840213030073,0.9193364819760245,0.08518885141040576,0.003346569083780328,0.9115508624966687
36.875,,,,,,,,,,0.08518716912397202,0.003101136591402977,0.9117979762278284
37.5,,,,0.06194933810003659,0.0012807508312708178,0.9368550676851001,0.07821991784237653,0.002220660860596902,0.9196455205645453,0.08519015442690218,0.0028777312584007263,0.9120183950025325
38.125,,,,,,,,,,0.08519729344163982,0.002674277665677198,0.9122147081316033
38.75,,,,,,,0.07827662943897463,0.0019287628404476313,0.9198807288405222,0.08520812453253532,0.0024888994054852853,0.9123892536715654
39.375,,,,,,,,,,0.0852222329808455,0.002319899918272231,0.9125441429128935
40.0,0.01826386024424599,0.0006056605265178062,0.9812135604514962,0.06217590672801774,0.001030758006662825,0.9368786271645966,0.07834109243504223,0.0016882822040619123,0.9200567661183202,0.08523924621672907,0.0021657451587973526,0.9126812824819794
40.625,,,,,,,,,,0.08525882954730354,0.002025047922145854,0.9128023942871285
