k,h=0.1,h=0.05
0.0,0.5,0.5
1.0,0.525,0.5125
2.0,0.549875,0.5249843750000001
3.0,0.574502496875,0.5374375781005859
4.0,0.5987648755918782,0.5498442177745964
5.0,0.6225515967448642,0.5621891334960297
6.0,0.645761096818935,0.5744574689420977
7.0,0.6683023372756923,0.5866347420279033
8.0,0.6900959614724428,0.5987069110894736
9.0,0.7110750423620659,0.6106604365982208
10.0,0.7311854267708132,0.6224823378666627
11.0,0.7503857020518253,0.6341602442892924
12.0,0.7686468268124161,0.6456824407518865
13.0,0.7859514785405493,0.6570379069349497
14.0,0.8022931771965109,0.6682163503304356
15.0,0.817675245544637,0.6792082328831005
16.0,0.8321096648701418,0.6900047912571272
17.0,0.8456158796446054,0.7005980508130341
18.0,0.858219597617639,0.7109808334581283
19.0,0.8699516236211368,0.7211467596043654
20.0,0.880846756853656,0.7310902445297772
21.0,0.8909427731799472,0.7408064894926821
22.0,0.9002795064733304,0.7502914679915983
23.0,0.9088980365194406,0.7595419075977432
24.0,0.9168399856194397,0.7685552678116507
25.0,0.9241469217971976,0.7773297144108045
26.0,0.930859863365432,0.7858640907621329
27.0,0.9370188774253418,0.7941578865720783
28.0,0.9426627635202108,0.8022112045388777
29.0,0.9478288129838718,0.8100247253571944
30.0,0.9525526343725021,0.8175996715055973
31.0,0.9568680356083734,0.8249377702231481
32.0,0.9608069539803713,0.8320412160538382
33.0,0.9643994258410398,0.8389126333072969
34.0,0.9676735886360738,0.8455550387523095
35.0,0.970655708739491,0.851971804826586
36.0,0.9733702294022593,0.8581666236130211
37.0,0.9758398339226215,0.8641434717995509
38.0,0.9780855198927576,0.8699065768075981
39.0,0.9801266810563959,0.8754603842429993
40.0,0.9819811939203116,0.880809526794008
41.0,0.983665506797826,0.8859587946732916
42.0,0.985194729427112,0.8909131076754421
43.0,0.9865827217050563,0.8956774888980444
44.0,0.9878421804147319,0.9002570401533758
45.0,0.9889847231066964,0.9046569190788103
46.0,0.9900209685283854,0.9088823179375404
47.0,0.990960613187197,0.9129384440866127
48.0,0.9918125037881557,0.9168305020770731
49.0,0.9925847054107221,0.9205636773404302
50.0,0.9932845653872421,0.9241431214072625
51.0,0.9939187729208661,0.9275739385967207
52.0,0.9944934145385113,0.9308611741105512
53.0,0.9950140255164749,0.9340098034611284
54.0,0.9954856374469062,0.9370247231605145
55.0,0.9959128221332415,0.9399107425957759
56.0,0.996299732015675,0.9426725770153979
57.0,0.9966501373334753,0.9453148415516306
58.0,0.9969674602330031,0.9478420462047825
59.0,0.997254806027387,0.950258591716742
60.0,0.9975149918095362,0.9525687662633081
61.0,0.9977505726123385,0.9547767428970327
62.0,0.997963865302354,0.9568865776753047
63.0,0.9981569703829662,0.9589022084110476
64.0,0.9983317918741269,0.9608274539868511
65.0,0.9984900554244707,0.9626660141762472
66.0,0.9986333248027085,0.9644214699194775
67.0,0.9987630169037099,0.9660972840040304
68.0,0.9988804153965304,0.9676968021038842
69.0,0.998986683130467,0.9692232541342104
70.0,0.9990828734082213,0.9706797558818544
71.0,0.9991699402245857,0.9720693108745102
72.0,0.999248747563458,0.9733948124549009
73.0,0.9993200778358494,0.9746590460285891
74.0,0.9993846395374583,0.9758646914572239
75.0,0.9994430741946579,0.9770143255710212
76.0,0.9994959626652562,0.9781104247772262
77.0,0.9995438308508797,0.9791553677429552
78.0,0.9995871548770218,0.9801514381335376
79.0,0.9996263657872563,0.9811008273887848
80.0,0.9996618537990655,0.9820056375221202
81.0,0.9996939721588726,0.9828678839284742
82.0,0.999723040636683,0.983689498189164
83.0,0.9997493486902381,0.9844723308626258
84.0,0.9997731583334196,0.9852181542520174
85.0,0.9997947067321259,0.9859286651410523
86.0,0.9998142085579292,0.986605487491441
87.0,0.999831858116848,0.9872501750953739
88.0,0.999847831280221,0.9878642141783937
89.0,0.99986228722974,0.9884490259477838
90.0,0.9998753700413117,0.9890059690834597
91.0,0.9998872101149524,0.9895363421678585
