t,exact,h=1,h=0.5,h=0.25,h=0.125,h=0.0625,h=0.03125
0.288144072036018,0.13387899535653772,,,,,,
0.28864432216108055,0.13368265975508847,,,,,,
0.28914457228614304,0.13348680471809624,,,,,,
0.2896448224112056,0.13329142865160282,,,,,,
0.2901450725362681,0.13309652996846202,,,,,,
0.29064532266133064,0.13290210708830255,,,,,,
0.2911455727863932,0.13270815843749162,,,,,,
0.2916458229114557,0.13251468244909853,,,,,,
0.29214607303651824,0.13232167756285867,,,,,,
0.2926463231615808,0.1321291422251376,,,,,,
0.2931465732866433,0.13193707488889547,,,,,,
0.29364682341170584,0.13174547401365166,,,,,,
0.2941470735367684,0.13155433806544958,,,,,,
0.2946473236618309,0.13136366551682208,,,,,,
0.29514757378689344,0.13117345484675624,,,,,,
0.29564782391195593,0.13098370454065955,,,,,,
0.2961480740370185,0.13079441309032527,,,,,,
0.29664832416208103,0.13060557899389866,,,,,,
0.29714857428714353,0.13041720075584315,,,,,,
0.2976488244122061,0.13022927688690683,,,,,,
0.29814907453726863,0.1300418059040891,,,,,,
0.29864932466233113,0.12985478633060787,,,,,,
0.2991495747873937,0.12966821669586617,,,,,,
0.29964982491245623,0.12948209553541995,,,,,,
0.3001500750375187,0.12929642139094558,,,,,,
0.3006503251625813,0.1291111928102072,,,,,,
0.3011505752876438,0.12892640834702537,,,,,,
0.3016508254127063,0.12874206656124473,,,,,,
0.3021510755377689,0.12855816601870276,,,,,,
0.30265132566283137,0.12837470529119804,,,,,,
0.3031515757878939,0.12819168295645939,,,,,,
0.3036518259129565,0.12800909759811469,,,,,,
0.30415207603801897,0.12782694780566028,,,,,,
0.3046523261630815,0.12764523217443002,,,,,,
0.3051525762881441,0.1274639493055653,,,,,,
0.30565282641320657,0.12728309780598462,,,,,,
0.3061530765382691,0.12710267628835364,,,,,,
0.30665332666333167,0.12692268337105553,,,,,,
0.30715357678839417,0.1267431176781611,,,,,,
0.3076538269134567,0.12656397783939943,,,,,,
0.3081540770385192,0.12638526249012896,,,,,,
0.30865432716358177,0.12620697027130787,,,,,,
0.3091545772886443,0.1260290998294659,,,,,,
0.3096548274137068,0.125851649816675,,,,,,
0.31015507753876936,0.1256746188905214,,,,,,
0.3106553276638319,0.12549800571407685,,,,,,
0.3111555777888944,0.12532180895587086,,,,,,
0.31165582791395696,0.12514602728986254,,,,,,
0.3121560780390195,0.12497065939541296,,,,,,
