t,S_h=5,I_h=5,R_h=5,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625
20.0,0.09161176011100915,0.07354597240751547,0.8348422674814753,0.0906380768979466,0.05651178689369942,0.8528501362083543,0.09153532104299325,0.04672385273675607,0.8617408262202505,0.0924023405053896,0.04146770274689695,0.8661299567477134
20.625,,,,,,,,,,0.09122024858266338,0.037910928595220605,0.870868822822116
21.25,,,,,,,0.08893811395601472,0.03945684785898769,0.8716050381849975,0.09015220057062125,0.034647979206455765,0.875199820222923
21.875,,,,,,,,,,0.08918653395376935,0.03165657406516236,0.8791568919810683
22.5,,,,0.08465786767667269,0.04166133074331556,0.873680801580012,0.08679763820283429,0.033277858889734495,0.8799245029074311,0.08831288291659523,0.028915755646521324,0.8827713614368834
23.125,,,,,,,,,,0.0875220187578167,0.026405884271377647,0.8860720969708056
23.75,,,,,,,0.0850291457565829,0.02803708106878871,0.8869337731746283,0.08680571201235024,0.024108614237194757,0.8890856737504549
24.375,,,,,,,,,,0.08615661309079113,0.022006856141114542,0.8918365307680942
25.0,0.07738362520137461,0.043887053658575,0.8787293211400503,0.08046739426834007,0.030567869434432113,0.888964736297228,0.0835648246544971,0.023601121736699593,0.8928340536088032,0.08556814873470794,0.02008472933084243,0.8943471219344495
25.625,,,,,,,,,,0.08503443200016877,0.018327507613672526,0.8966380603861586
26.25,,,,,,,0.08235010290223128,0.019852674791172323,0.8977972223065963,0.08455018383206889,0.016721560694908814,0.8987282554730222
26.875,,,,,,,,,,0.08411066458738543,0.01525429327963758,0.9006350421329768
27.5,,,,0.0775059062403978,0.022352904974916255,0.9001411887846862,0.08134083222139708,0.016689556377605212,0.9019696114009976,0.0837116141146925,0.013914083335404896,0.9023743025499025
28.125,,,,,,,,,,0.08334919920728331,0.012690220660279186,0.9039605801324374
28.75,,,,,,,0.08050112715878625,0.014023409152172834,0.9054754636890409,0.08301996742421379,0.011572846616309961,0.9054071859594761
29.375,,,,,,,,,,0.08272080642274258,0.010552895660249929,0.9067262979170073
30.0,0.06973271652197889,0.02576898116898536,0.9044983023090357,0.07539916818827257,0.016306428684694323,0.9082944031270334,0.07980169477325987,0.011778273230159385,0.9084200319965807,0.08244890807143652,0.009622039121383106,0.9079290528071802
30.625,,,,,,,,,,0.08220173671938666,0.008772631531940418,0.9090256317486727
31.25,,,,,,,0.07921853381316978,0.009889147352199574,0.9108923188346306,0.08197700108669072,0.007997659701898988,0.91002533921141
31.875,,,,,,,,,,0.08177262931725043,0.0072906946411904604,0.9109366760415588
32.5,,,,0.0738930044294885,0.011875061628985597,0.9142319339415261,0.07873191412560178,0.00830061363181406,0.9129674722425841,0.08158674679922504,0.006645846363747429,0.9117674068370273
33.125,,,,,,,,,,0.0814176564130321,0.006057721555502545,0.9125246220314651
33.75,,,,,,,0.07832557019082331,0.006965566053274026,0.9147088637559027,0.08126382091314832,0.005521384049232284,0.9132147950376192
34.375,,,,,,,,,,0.08112384718943455,0.005032318020396502,0.9138438347901687
35.0,0.06551225627618218,0.014994720707391032,0.9194930230164268,0.07281219283294744,0.008637248817017761,0.918550558350035,0.07798605953524376,0.005844061367082871,0.9161698790976733,0.0809964721873792,0.004586393797734972,0.9144171340148856
35.625,,,,,,,,,,0.08088055029543158,0.0041798361686067416,0.9149396135359614
36.25,,,,,,,0.07770224909021652,0.00490229744968809,0.9173954534600953,0.08077504203224185,0.003809195050485741,0.9154157629172721
36.875,,,,,,,,,,0.08067900388777703,0.0034713183955116145,0.9158496777167111
37.5,,,,0.07203446830030827,0.0062766488997712915,0.9216888827999206,0.07746490159675519,0.004111715954519528,0.9184233824487252,0.08059157919047477,0.003163327193612331,0.9162450936159127
38.125,,,,,,,,,,0.08051198988827933,0.002882592440718026,0.9166054176710025
38.75,,,,,,,0.0772663408178252,0.00344822138675962,0.9192854377954152,0.08043952914495178,0.0026267139413738445,0.9169337569136742
39.375,,,,,,,,,,0.08037355466477811,0.0023935008191533465,0.9172329445160683
40.0,0.06314514667994947,0.00868091515181187,0.9281739381682387,0.07147369915634295,0.004558278695824398,0.9239680221478328,0.07710017926341325,0.002891506352937247,0.9200083143836495,0.08031348266897896,0.002180953613291102,0.9175055637177297
40.625,,,,,,,,,,0.0802587824559803,0.0019872478455909004,0.9177539696984286
41.25,,,,,,,0.07696109582746692,0.002424471831106864,0.9206144323414263,0.08020897148542358,0.0018107189476867641,0.9179803095668895
41.875,,,,,,,,,,0.08016361093253904,0.0016498484449522731,0.9181865406225085
42.5,,,,0.07106876013725259,0.0033088118099431755,0.9256224280528044,0.07684465351632849,0.002032731313796244,0.9211226151698754,0.08012230166541133,0.0015032512996266529,0.9183744470349618
43.125,,,,,,,,,,0.08008468060284996,0.0013696643219449191,0.9185456550752049
43.75,,,,,,,0.07674714955748468,0.0017041882181120468,0.9215486622244033,0.08005041741513425,0.0012479355641427912,0.9187016470207228
44.375,,,,,,,,,,0.0800192115339193,0.0011370146180957707,0.9188437738479848
45.0,0.06180386148591556,0.005011100172922892,0.9331850383411616,0.07077602943468463,0.002401028341674092,0.9268229422236414,0.07666549179008192,0.0014286767884118493,0.9219058314215063,0.07999078944113568,0.001035943743003905,0.9189732668158602
45.625,,,,,,,,,,0.07996490220985311,0.000943849754921309,0.9190912480352253
46.25,,,,,,,0.07659709648145517,0.0011976576776308785,0.922205245840914,0.07994132327285962,0.0008599366150353785,0.9191987401121048
46.875,,,,,,,,,,0.07991984639717682,0.0007834786584161519,0.9192966749444068
47.5,,,,0.0705642459915165,0.0017418745232281394,0.9276938794852554,0.07653980367925466,0.0010039603838651126,0.9224562359368803,0.07990028384492873,0.000713814409479328,0.9193859017455918
48.125,,,,,,,,,,0.0798824647029382,0.0006503409346398695,0.9194671943624217
48.75,,,,,,,0.07649180696432813,0.0008415656790333115,0.9226666273566386,0.07986623336517167,0.0005925086865834595,0.9195412579482447
49.375,,,,,,,,,,0.07985144815371312,0.0005398167982595595,0.9196087350480272
50.0,0.06103917789860859,0.002887891880114932,0.9360729302212766,0.07041093721939265,0.0012634555302346564,0.9283256072503727,0.0764515950652567,0.0007054220624837855,0.9228429828722595,0.07983798006534487,0.0004918087881136043,0.9196702111465413
