t,S_h=5.0,I_h=5.0,R_h=5.0,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625,S_h=0.3125,I_h=0.3125,R_h=0.3125,S_h=0.15625,I_h=0.15625,R_h=0.15625,S_h=0.078125,I_h=0.078125,R_h=0.078125,S_h=0.0390625,I_h=0.0390625,R_h=0.0390625
1.484375,,,,,,,,,,,,,,,,,,,0.39769075808763793,0.2825004287551571,0.3418945748124043,0.3962141493839158,0.2809760713402955,0.3409943480222461
1.5234375,,,,,,,,,,,,,,,,,,,,,,0.39456722461284155,0.2802033582132378,0.3432791265767562
1.5625,,,,,,,,,,,,,0.39955343017520784,0.28462522436007265,0.34639921007408386,0.39645200669886627,0.2827234388581917,0.34695631727022175,0.3943677725376543,0.28095244023955257,0.3464578168747857,0.39295001098078647,0.2794314981574546,0.34553756413616477
1.6015625,,,,,,,,,,,,,,,,,,,,,,0.3913615242746234,0.27866055713142335,0.3477703508149223
1.640625,,,,,,,,,,,,,,,,,,,0.39116245351770906,0.27940762704642463,0.35091786895234667,0.38980083413191124,0.27789059953171913,0.34997814168888625
1.6796875,,,,,,,,,,,,,,,,,,,,,,0.38826705980869164,0.27712168810598875,0.35216155945569233
1.71875,,,,,,,,,,,,,,,,0.3900108915356949,0.27966307512731403,0.35583977661143773,0.3880673669401502,0.2778665541094467,0.35527989520745995,0.38675936637665354,0.2763538838897953,0.35432119683388824
1.7578125,,,,,,,,,,,,,,,,,,,,,,0.38527696129701244,0.2755872461631677,0.35645761873184745
1.796875,,,,,,,,,,,,,,,,,,,0.3850758303188217,0.2763297499608001,0.35954856984190176,0.38381909132594033,0.2748218324234035,0.3585713642131929
1.8359375,,,,,,,,,,,,,,,,,,,,,,0.38238503971268645,0.2740576983712627,0.3606629482818427
1.875,,,,,,,,,,0.39098738760728363,0.28083091474794664,0.361535368267934,0.38676247495779437,0.27870269613156384,0.3639769998394671,0.38399347513506255,0.2766137521507135,0.3643459378308264,0.38218180648259065,0.274797707601562,0.36372814550591454,0.3809741236568186,0.273294897908175,0.36273286350672945
1.9140625,,,,,,,,,,,,,,,,,,,,,,0.3795856919954992,0.2725334831424752,0.36478158150365103
1.953125,,,,,,,,,,,,,,,,,,,0.37937981626951855,0.27327088571043767,0.3678225095486044,0.37821912309551464,0.27177350440301734,0.366809554289486
1.9921875,,,,,,,,,,,,,,,,,,,,,,0.37687382292801364,0.271015010258782,0.36881721552211605
2.03125,,,,,,,,,,,,,,,,0.3783530073476123,0.2735803314043254,0.3725080964557032,0.37666486618366646,0.27174971006292914,0.37183523068104896,0.3755492233066805,0.27025804754332533,0.3708049816377708
2.0703125,,,,,,,,,,,,,,,,,,,,,,0.374244780272441,0.2695026613830989,0.3727732528961042
2.109375,,,,,,,,,,,,,,,,,,,0.374032387966595,0.27023457507014415,0.37576959800003784,0.3729599726098429,0.2687488952288338,0.3747224143421036
2.1484375,,,,,,,,,,,,,,,,,,,,,,0.3716943004820119,0.26799679088930806,0.37665283669288574
2.1875,,,,,,,,,,,,,0.3755050165416413,0.2727940327846928,0.3801545556406502,0.3730505531233148,0.2705668855765852,0.3803542004163633,0.3714781877452401,0.26872584537321936,0.3796286538660093,0.3704472841726104,0.26724638856692823,0.3785648771565154
2.2265625,,,,,,,,,,,,,,,,,,,,,,0.36921846292454674,0.2664977268946518,0.3804588801892
2.265625,,,,,,,,,,,,,,,,,,,0.3689984029434033,0.2672238574486363,0.3834152217930989,0.36800739386633213,0.26575084297384766,0.38233517819650764
2.3046875,,,,,,,,,,,,,,,,,,,,,,0.36681365101799185,0.26500577241276657,0.3841940921836607
2.34375,,,,,,,,,,,,,,,,0.36805323283185715,0.2675768342041561,0.3879080864549,0.3665894655378408,0.26572892119361435,0.38713193025813597,0.36563682436930384,0.2642625493653384,0.38603593235941464
2.3828125,,,,,,,,,,,,,,,,,,,,,,0.36447651902391814,0.2635212065700703,0.38786099869757096
2.421875,,,,,,,,,,,,,,,,,,,0.36424807053808295,0.26424132147078816,0.39078123314546404,0.36333235440358,0.2627817753888475,0.38966958145975594
2.4609375,,,,,,,,,,,,,,,,,,,,,,0.3622039635072741,0.2620442858454859,0.39146196168273334
2.5,,,,0.3828603098404182,0.27517054971289445,0.37624189301087796,0.3745124475929865,0.27263686260027425,0.38761063252808803,0.36897510926266475,0.2697217403940246,0.39318811120558156,0.36549618479585205,0.2669425713034414,0.39514741361155653,0.3633329494432985,0.2646130476394699,0.395190360448949,0.36197114879715114,0.2627613195985733,0.3943654273992147,0.3610909922206333,0.26130876666389913,0.3932384116331929
2.5390625,,,,,,,,,,,,,,,,,,,,,,0.3599930986714243,0.2605752453057771,0.3949991952326783
2.578125,,,,,,,,,,,,,,,,,,,0.35975584343636535,0.26128915477880715,0.3978866683425048,0.35890995262732567,0.2598437480076904,0.3967445684550514
2.6171875,,,,,,,,,,,,,,,,,,,,,,0.3578412349325813,0.25911429981754813,0.3984747796986746
2.65625,,,,,,,,,,,,,,,,0.35886544654663616,0.2616779296532474,0.40221904093493804,0.3575994893045007,0.2598250454569418,0.4013469830356453,0.35678663698044544,0.25838692463035934,0.4001900701352824
2.6953125,,,,,,,,,,,,,,,,,,,,,,0.35574586021861015,0.2576616452232515,0.4018906740373338
2.734375,,,,,,,,,,,,,,,,,,,0.3554995949991717,0.25836919061269015,0.40474828197679474,0.35471861568508123,0.25693848328971525,0.40357681908548165
2.7734375,,,,,,,,,,,,,,,,,,,,,,0.35370462357218235,0.2562174594730543,0.4052487266576391
2.8125,,,,,,,,,,,,,0.35652567249125605,0.26117785992396386,0.40911448254690386,0.3546295970181675,0.25877348470982664,0.4090100402979632,0.3534538270634443,0.256921770980881,0.40809236939410226,0.3527036128165918,0.2554985933990237,0.4069066121010034
2.8515625,,,,,,,,,,,,,,,,,,,,,,0.3517153207134861,0.25478190370764453,0.40855068498827096
2.890625,,,,,,,,,,,,,,,,,,,0.3514599960385167,0.25548295020355033,0.41138095233501426,0.35073949255304565,0.2540674080841948,0.41018114935917743
2.9296875,,,,,,,,,,,,,,,,,,,,,,0.3497758812777162,0.25335512328937443,0.4117982039484038
2.96875,,,,,,,,,,,,,,,,0.35060685619456305,0.2559013737270659,0.4155775317335707,0.34951604410773185,0.2540528759151671,0.41461564872355827,0.3488242471587641,0.25264506518864854,0.4134020424007903
3.0078125,,,,,,,,,,,,,,,,,,,,,,0.3478843574907805,0.251937248780775,0.41499285347473913
3.046875,,,,,,,,,,,,,,,,,,,0.34762003411112286,0.25263168076346043,0.41779799452825234,0.3469559863029042,0.25123168822552905,0.41657082123460454
3.0859375,,,,,,,,,,,,,,,,,,,,,,0.3460389140856283,0.25052839687063083,0.41813612523280747
3.125,,,,,,,,,,0.35119241107305965,0.25872624592029114,0.4206592076160137,0.3484327904790967,0.25552038800643756,0.4221785843417452,0.3467808347826573,0.2530629608839444,0.42193423398539104,0.34577013974539084,0.2512194833686615,0.42092945016035366,0.34513292753215064,0.24982738727789422,0.4196889406823554
3.1640625,,,,,,,,,,,,,,,,,,,,,,0.3442378192933107,0.2491286712486078,0.4212294386203941
3.203125,,,,,,,,,,,,,,,,,,,0.34396463679338235,0.24981638922417362,0.42401140620341277,0.343353387745227,0.24843225984816544,0.422757786063369
3.2421875,,,,,,,,,,,,,,,,,,,,,,0.3424794367688186,0.2477381634299625,0.42427414615433134
3.28125,,,,,,,,,,,,,,,,0.34313696052292636,0.25025935329040955,0.4280916357031445,0.3422018952510855,0.24842249154176058,0.42704518855967044,0.34161577554046013,0.2470463916585724,0.42577867830288213
3.3203125,,,,,,,,,,,,,,,,,,,,,,0.34076221833307035,0.24635695353222417,0.4272715383182121
3.359375,,,,,,,,,,,,,,,,,,,0.34048037223995203,0.2470378720443484,0.43003206308607206,0.3399185843269932,0.2456698574045965,0.4287528785356634
3.3984375,,,,,,,,,,,,,,,,,,,,,,0.3390846974300677,0.24498511100594556,0.43022284793720034
3.4375,,,,,,,,,,,,,0.3410914058107483,0.24998431328516804,0.43443802417853006,0.3396622067285852,0.24749143485765482,0.43406017467081676,0.33879860560877373,0.24566260170948584,0.4329732397820777,0.33826038610633835,0.24430272146358648,0.43168159226616115
3.4765625,,,,,,,,,,,,,,,,,,,,,,0.3374454832128875,0.24362269532174408,0.4331292541366265
3.515625,,,,,,,,,,,,,,,,,,,0.3371552081430183,0.24429674146641445,0.4358698765825953,0.33663982584431473,0.24294503856079208,0.4345659731377197
3.5546875,,,,,,,,,,,,,,,,,,,,,,0.3358432551844149,0.24226975661589664,0.435991885933131
3.59375,,,,,,,,,,,,,,,,0.33634487196805635,0.2447598953877467,0.4398493827657208,0.33554886231100717,0.24294034284958843,0.4387230828019416,0.3350556163646445,0.24159685439508397,0.43740712635614387
3.6328125,,,,,,,,,,,,,,,,,,,,,,0.3342767583289878,0.24092633629674573,0.4388118255004133
3.671875,,,,,,,,,,,,,,,,,,,0.33397831548594664,0.24159344861135343,0.4415339222684922,0.3335065337048655,0.2402582062266017,0.4402061118067363
3.7109375,,,,,,,,,,,,,,,,,,,,,,0.3327447986797514,0.23959246761413472,0.4415901111460352
3.75,,,,,,,0.3402675175383311,0.2526250761594297,0.4404610769254035,0.3365145930717989,0.24805929573254876,0.44486828212447777,0.3344003570736147,0.24457920079499298,0.44597360724799445,0.33317439938954685,0.24206525567796686,0.44546800452255375,0.33244237559097234,0.24025609329635703,0.4443034161843941,0.33199141288317724,0.23892912342851413,0.44296394689876184
3.7890625,,,,,,,,,,,,,,,,,,,,,,0.33124623927384383,0.238268176194023,0.4443277400309166
3.828125,,,,,,,,,,,,,,,,,,,0.3309399071212653,0.23892830378012048,0.4470325457402404,0.3305091440315531,0.23760962800500596,0.4456816091668636
3.8671875,,,,,,,,,,,,,,,,,,,,,,0.3297799964537146,0.23695348054035045,0.44702567065911203
3.90625,,,,,,,,,,,,,,,,0.3301412271520425,0.23940788927294926,0.4509240951035693,0.32946982750317677,0.23761009977406303,0.44972225451077846,0.3290586688561802,0.23629973507751684,0.448360038655221
3.9453125,,,,,,,,,,,,,,,,,,,,,,0.3283450364781827,0.23564839250613168,0.4496848251619802
3.984375,,,,,,,,,,,,,,,,,,,0.32803110375530725,0.23630149429912964,0.4523734506544754,0.3276389773911715,0.23499945334115876,0.4510001401070048
4.0234375,,,,,,,,,,,,,,,,,,,,,,0.3269403724113415,0.23435291773565772,0.4523060913978745
4.0625,,,,,,,,,,,,,0.32827708021957425,0.23931120784260532,0.4568531471454613,0.3272366635400396,0.2367880413763474,0.4562251020112579,0.3266227494207893,0.23500249413004257,0.4549870089369452,0.32624910501567267,0.23370878549314827,0.4536027849789441
4.1015625,,,,,,,,,,,,,,,,,,,,,,0.32556506126130513,0.23306705607958822,0.4548903248859373
4.140625,,,,,,,,,,,,,,,,,,,0.325243821743716,0.23371310021206376,0.4575637725958645,0.324888129708084,0.23242772863498046,0.4561688132984367
4.1796875,,,,,,,,,,,,,,,,,,,,,,0.32421820134412,0.23179080198461807,0.4574383505903693
4.21875,,,,,,,,,,,,,,,,0.32445278186778637,0.2342058453408573,0.4613779338281335,0.32389341906584707,0.23243330805203877,0.4601045550628947,0.3235551695142193,0.23115627464998173,0.45869903537858764
4.2578125,,,,,,,,,,,,,,,,,,,,,,0.3228989298510481,0.23052414485929898,0.45995096456963563
