t,S_alpha=0.95_S0=0.95,I_alpha=0.95_S0=0.95,max_alpha=0.95_S0=0.95,S_alpha=0.95_S0=0.9,I_alpha=0.95_S0=0.9,max_alpha=0.95_S0=0.9,S_alpha=0.95_S0=0.8,I_alpha=0.95_S0=0.8,max_alpha=0.95_S0=0.8,S_alpha=0.95_S0=0.7,I_alpha=0.95_S0=0.7,max_alpha=0.95_S0=0.7,S_alpha=0.9_S0=0.95,I_alpha=0.9_S0=0.95,max_alpha=0.9_S0=0.95,S_alpha=0.9_S0=0.9,I_alpha=0.9_S0=0.9,max_alpha=0.9_S0=0.9,S_alpha=0.9_S0=0.8,I_alpha=0.9_S0=0.8,max_alpha=0.9_S0=0.8,S_alpha=0.9_S0=0.7,I_alpha=0.9_S0=0.7,max_alpha=0.9_S0=0.7,S_alpha=0.8_S0=0.95,I_alpha=0.8_S0=0.95,max_alpha=0.8_S0=0.95,S_alpha=0.8_S0=0.9,I_alpha=0.8_S0=0.9,max_alpha=0.8_S0=0.9,S_alpha=0.8_S0=0.8,I_alpha=0.8_S0=0.8,max_alpha=0.8_S0=0.8,S_alpha=0.8_S0=0.7,I_alpha=0.8_S0=0.7,max_alpha=0.8_S0=0.7,S_alpha=0.7_S0=0.95,I_alpha=0.7_S0=0.95,max_alpha=0.7_S0=0.95,S_alpha=0.7_S0=0.9,I_alpha=0.7_S0=0.9,max_alpha=0.7_S0=0.9,S_alpha=0.7_S0=0.8,I_alpha=0.7_S0=0.8,max_alpha=0.7_S0=0.8,S_alpha=0.7_S0=0.7,I_alpha=0.7_S0=0.7,max_alpha=0.7_S0=0.7
0.0,0.95,0.050000000000000044,0.11220184543019635,0.9,0.09999999999999998,0.11220184543019635,0.8,0.19999999999999996,0.11220184543019635,0.7,0.30000000000000004,0.11220184543019635,0.95,0.050000000000000044,0.12589254117941673,0.9,0.09999999999999998,0.12589254117941673,0.8,0.19999999999999996,0.12589254117941673,0.7,0.30000000000000004,0.12589254117941673,0.95,0.050000000000000044,0.15848931924611132,0.9,0.09999999999999998,0.15848931924611132,0.8,0.19999999999999996,0.15848931924611132,0.7,0.30000000000000004,0.15848931924611132,0.95,0.050000000000000044,0.19952623149688795,0.9,0.09999999999999998,0.19952623149688795,0.8,0.19999999999999996,0.19952623149688795,0.7,0.30000000000000004,0.19952623149688795
0.5,0.8861643185397238,0.09888749669503136,0.11220184543019635,0.7857305205948725,0.18510230991225524,0.11220184543019635,0.6190892695315391,0.3281512100703354,0.11220184543019635,0.4864453323353313,0.44201598969410033,0.11220184543019635,0.8907092780619333,0.09684331918744478,0.12589254117941673,0.7907088803157967,0.18149363446377936,0.12589254117941673,0.6242557652527992,0.322396160717532,0.12589254117941673,0.49128569481344747,0.43495529686799206,0.12589254117941673,0.9043878973607345,0.09304089779018124,0.15848931924611132,0.8047345776819814,0.17477644620409685,0.15848931924611132,0.6378186268082456,0.31168073426670306,0.15848931924611132,0.5035359157255784,0.4218192732359098,0.15848931924611132,0.9213708215541868,0.08924976310425164,0.19952623149688795,0.8217063394191856,0.16803523064128306,0.19952623149688795,0.6537546537148062,0.3008022083889658,0.19952623149688795,0.5177057150130917,0.4083498423496022,0.19952623149688795
1.0,0.7767686292718176,0.1797254081310773,0.11220184543019635,0.6224024301925672,0.3006414793377971,0.11220184543019635,0.4239244309396607,0.4517801828779514,0.11220184543019635,0.3014808554946514,0.5415742630264674,0.11220184543019635,0.7879829815323732,0.17111433924309988,0.12589254117941673,0.6364512355386279,0.28769147240421805,0.12589254117941673,0.4390213802382162,0.43535009147538783,0.12589254117941673,0.315453345167298,0.5244003403460141,0.12589254117941673,0.8136529762791905,0.15534371552740306,0.15848931924611132,0.6671136512455063,0.26377820664238244,0.15848931924611132,0.4712030074847817,0.4047714839185913,0.15848931924611132,0.3450730797074271,0.49238069881959917,0.15848931924611132,0.8405499639317436,0.14043629891773834,0.19952623149688795,0.6989023167432941,0.24085624638644781,0.19952623149688795,0.5046305233924111,0.37495982286153673,0.19952623149688795,0.37600058564935057,0.46087134888681835,0.19952623149688795
1.5,0.620210382061355,0.29036498396277505,0.11220184543019635,0.43948802915854995,0.4179328708957794,0.11220184543019635,0.26354131048882856,0.5298834778133338,0.11220184543019635,0.17618559684788831,0.5778631197746519,0.11220184543019635,0.6434902157858077,0.2706631023909759,0.12589254117941673,0.4655250863612937,0.3940956584184802,0.12589254117941673,0.2874455742123318,0.5059484350293636,0.12589254117941673,0.19650871178804563,0.5558515975153778,0.12589254117941673,0.6911063731490511,0.23485222737157624,0.15848931924611132,0.5189406211656761,0.34988386993502274,0.15848931924611132,0.33717558272101394,0.4609635881450384,0.15848931924611132,0.23917104214583523,0.514486849010509,0.15848931924611132,0.737893311681998,0.2018443379604375,0.19952623149688795,0.5726860859412687,0.30789522658412566,0.19952623149688795,0.3886618640213819,0.41715283546992366,0.19952623149688795,0.28400668026764486,0.47387934553973354,0.19952623149688795
2.0,0.4430420328537135,0.40425904131971846,0.11220184543019635,0.2818817817768095,0.4984718578380909,0.11220184543019635,0.15740082204611056,0.5520068319711253,0.11220184543019635,0.10338247505841949,0.5654665401858485,0.11220184543019635,0.47933037206808315,0.3739075010977604,0.12589254117941673,0.3161559768251109,0.46894305455657936,0.12589254117941673,0.18500820633603937,0.5272520067766432,0.12589254117941673,0.12570671233373623,0.544589239372675,0.12589254117941673,0.5524449303031628,0.31759319088344856,0.15848931924611132,0.3873341470249186,0.4125572530360718,0.15848931924611132,0.24390226085907224,0.4794279649157517,0.15848931924611132,0.17391410746308292,0.504484107141915,0.15848931924611132,0.6244763992190249,0.26494231282559016,0.19952623149688795,0.4607682847433485,0.35744726018340195,0.19952623149688795,0.3069746354450123,0.4313900591568696,0.19952623149688795,0.22635231611678752,0.4640300959175063,0.19952623149688795
2.5,0.2878507443260532,0.4846581454726295,0.11220184543019635,0.172623502831806,0.5276017920559039,0.11220184543019635,0.09547156207085486,0.5342454225722378,0.11220184543019635,0.06366850363030072,0.5273658117474678,0.11220184543019635,0.3312370661840917,0.45055641670337276,0.12589254117941673,0.20883646027536196,0.4995788795407275,0.12589254117941673,0.12284817225685915,0.5134704413956873,0.12589254117941673,0.08545320394772894,0.5109599459614045,0.12589254117941673,0.42173913033022614,0.3841012907731096,0.15848931924611132,0.28722693470918115,0.44339296658264876,0.15848931924611132,0.18368865856330394,0.47156593947848974,0.15848931924611132,0.134369256494793,0.47825686869343226,0.15848931924611132,0.5150522245665283,0.31849848356138205,0.19952623149688795,0.3722782331851766,0.38513683867412507,0.19952623149688795,0.25191071150893796,0.4270046633726796,0.19952623149688795,0.18984463008947167,0.4434129159195404,0.19952623149688795
3.0,0.17829315407062302,0.5159422450751625,0.11220184543019635,0.10646941203092004,0.5167517608485787,0.11220184543019635,0.06101824869492376,0.49613957828768673,0.11220184543019635,0.04210013001928853,0.4795643563864224,0.11220184543019635,0.22153445486375,0.48571964676987117,0.12589254117941673,0.14060605013178612,0.4946390498081179,0.12589254117941673,0.08650758934526695,0.48132576685467066,0.12589254117941673,0.06245271286692118,0.4687686865615891,0.12589254117941673,0.31676414878662873,0.42262080170954197,0.15848931924611132,0.21820800179173958,0.44728191316380905,0.15848931924611132,0.14561835273120827,0.44941933953615215,0.15848931924611132,0.1099553583450602,0.44580417302043013,0.15848931924611132,0.42159002910476345,0.35485809186022416,0.19952623149688795,0.30728502584753004,0.39391148316667796,0.19952623149688795,0.21500064057174395,0.41238300895738844,0.19952623149688795,0.16600726533848767,0.4188685187092383,0.19952623149688795
3.5,0.11089619618087675,0.5077261621075242,0.11220184543019635,0.06869520778850376,0.48379837666322995,0.11220184543019635,0.04182999704669351,0.45066636059739573,0.11220184543019635,0.03008996957587662,0.4304761880201048,0.11220184543019635,0.15011561623519096,0.4852833199427523,0.12589254117941673,0.09946801171990911,0.4689431142876006,0.12589254117941673,0.06514449538313694,0.44208535625630196,0.12589254117941673,0.04892964088491363,0.42529095965759145,0.12589254117941673,0.24137988190729925,0.4341254515800877,0.15848931924611132,0.17269452158749057,0.4339047721376545,0.15848931924611132,0.12129216519283299,0.42116061070403193,0.15848931924611132,0.09438943162661582,0.41232293652698,0.15848931924611132,0.348706697719066,0.3729695361705605,0.19952623149688795,0.261198681393503,0.3896333917766104,0.19952623149688795,0.18987537291152312,0.3930706725050446,0.19952623149688795,0.14987320778745497,0.3938019944145967,0.19952623149688795
4.0,0.07194521386471284,0.4769718475113689,0.11220184543019635,0.04729355412693132,0.44181239434301517,0.11220184543019635,0.030875359313623986,0.4046291300255922,0.11220184543019635,0.02315943056097025,0.3839081184783217,0.11220184543019635,0.1063711404004716,0.4629425769380057,0.12589254117941673,0.07483109746984826,0.4339477650365152,0.12589254117941673,0.052266563442446824,0.4018151658062673,0.12589254117941673,0.04069439039204742,0.3838632034965391,0.12589254117941673,0.1903696461681878,0.4265092244121428,0.15848931924611132,0.14290322573009817,0.41153189109751986,0.15848931924611132,0.10536946000998376,0.39136829119212946,0.15848931924611132,0.08412325012164927,0.3802222236633034,0.15848931924611132,0.2949040118734556,0.37642208283928225,0.19952623149688795,0.22876228283175176,0.377683014068071,0.19952623149688795,0.1723582594991208,0.37223434035369624,0.19952623149688795,0.13857392922145545,0.3697642997769995,0.19952623149688795
4.5,0.04968760633715477,0.4366024045998151,0.11220184543019635,0.03494021949749847,0.3980890889796569,0.11220184543019635,0.02441399878221344,0.361135007581856,0.11220184543019635,0.019015105215772665,0.34133276122511796,0.11220184543019635,0.079926169121542,0.4301608881132303,0.12589254117941673,0.05982274999220081,0.39637958701090975,0.12589254117941673,0.044264929023491446,0.3633838593645163,0.12589254117941673,0.03551340856412319,0.3458060542870558,0.12589254117941673,0.15650943739010764,0.4079441375893119,0.15848931924611132,0.12315873729010027,0.38551132015172873,0.15848931924611132,0.09466213197508207,0.36233944086162034,0.15848931924611132,0.07714633188542236,0.350482248348334,0.15848931924611132,0.2561322722408248,0.37005945428041176,0.19952623149688795,0.2057368279467681,0.3618559895783657,0.19952623149688795,0.159830947846103,0.35153302426776173,0.19952623149688795,0.1304217030760094,0.3473804389670073,0.19952623149688795
