k,h=0.1,h=0.05
91.0,0.99975267341086,0.9871181260587454
92.0,0.999772194746137,0.9876816239918754
93.0,0.9997938860128053,0.988275475157856
94.0,0.9998101550805025,0.9887889216036009
95.0,0.9998282324433884,0.9893299682296365
96.0,0.9998417908945529,0.9897977124900831
97.0,0.9998568562715823,0.9902905529261466
98.0,0.9998681556022967,0.9907165829828497
99.0,0.999880710713733,0.9911654318627015
100.0,0.9998901272542294,0.9915534015029338
101.0,0.9999005902850252,0.9919621188562154
102.0,0.9999084377018245,0.9923153732793482
103.0,0.999917157198291,0.9926874919537834
104.0,0.9999236969204396,0.993009091843078
105.0,0.9999309633787113,0.9933478432352697
106.0,0.9999364132917228,0.9936405873055183
107.0,0.9999424688202998,0.9939489254232742
108.0,0.9999470105148645,0.9942153714741002
109.0,0.9999520568905459,0.9944959953718425
110.0,0.9999558417057328,0.9947384798910628
111.0,0.9999600470895437,0.9949938545336918
112.0,0.999963201150615,0.9952145109057752
113.0,0.9999667056862523,0.9954468865262313
114.0,0.9999693341041008,0.9956476619082982
115.0,0.9999722545845827,0.9958590919307262
116.0,0.9999744449561394,0.9960417628633378
117.0,0.9999768787135674,0.9962341204678472
118.0,0.999978704039413,0.9964003072905468
119.0,0.9999807321870567,0.9965753006975878
120.0,0.9999822533031887,0.9967264808402194
121.0,0.9999839434376516,0.9968856673930155
122.0,0.9999852110422481,0.9970231876136193
123.0,0.9999866194955687,0.9971679867362641
124.0,0.9999876758381633,0.997293074375133
125.0,0.9999888495547741,0.9974247794821797
126.0,0.999989729844041,0.9975385527997117
127.0,0.9999907079450434,0.9976583422306059
128.0,0.9999914415220513,0.9977618198940873
129.0,0.9999922566088775,0.9978707669428117
130.0,0.9999928679248696,0.9979648767244041
131.0,0.9999935471657367,0.9980639588313873
132.0,0.9999940565969934,0.9981495455764703
133.0,0.9999946226323309,0.9982396527462836
134.0,0.999995047159255,0.998317485668056
135.0,0.9999955188562596,0.9983994281727832
136.0,0.9999958726293056,0.9984702075257087
137.0,0.9999962657107607,0.9985447229502169
138.0,0.9999965605220554,0.9986090861315927
139.0,0.9999968880903639,0.9986768458132953
140.0,0.9999971337667366,0.9987353729389646
