t,alpha=0.05,alpha=0.1,alpha=0.15,alpha=0.2,alpha=0.25,alpha=0.3,alpha=0.35,alpha=0.4,alpha=0.45,alpha=0.5,alpha=0.55,alpha=0.6,alpha=0.65,alpha=0.7,alpha=0.75,alpha=0.8,alpha=0.85,alpha=0.9,alpha=0.95
0.05,1.002642718230903,1.0056273223534131,1.0088971073633253,1.0123717816608626,1.0159461644508483,1.019489989260425,1.0228492131454017,1.0258492943383357,1.0283009645831733,1.0300090837757616,1.0307852207530181,1.0304646514559477,1.028928499850144,1.0261317628272795,1.0221379520313703,1.0171610466829692,1.0116153749444436,1.0061739196349302,1.0018353693148987
0.055,1.0024185093545666,1.0051762191380653,1.00822554878449,1.0114959476786622,1.0148921219406333,1.0182932609481812,1.0215536768842517,1.024505345714344,1.026962916151358,1.0287318320488994,1.029620290262795,1.029455826523341,1.0281073815867978,1.0255137432744463,1.021719280386309,1.0169178743483618,1.0115059053319182,1.0061450521330535,1.0018355092692772
0.06,1.0022301351089118,1.0047951875925007,1.00765526374258,1.0107481866226418,1.0139873355989664,1.0172603820578927,1.0204293430355105,1.0233324603656182,1.0257885046972692,1.0276041992690772,1.028585554779754,1.0285540002723315,1.0273682808309734,1.0249531651166022,1.0213360571617782,1.0166926289488176,1.0114025733517225,1.006116510011237,1.0018349474452055
0.065,1.0020695891846587,1.0044688750317927,1.0071645077132318,1.010101571902068,1.0132011059426458,1.0163584179519944,1.01944262493708,1.0222979365505134,1.0247473093848942,1.0265992089627094,1.027658332190486,1.0277412593701316,1.0266981170798881,1.024441435207641,1.020983465528951,1.0164832862757354,1.0113050362774103,1.0060885909163308,1.0018338961042186
0.07,1.001931091392705,1.0041861335135585,1.0067373989028792,1.0095363192798088,1.0125107384949974,1.0155628681486644,1.0185683731478383,1.0213771186596776,1.0238162257099248,1.0256962087050392,1.0268211021418905,1.0270036223297012,1.026086548407265,1.0239716391162634,1.0206575198126107,1.0162880683063882,1.0112128865277807,1.0060614537931936,1.0018325004830693
0.075,1.0018103631294584,1.0039386682523495,1.0063620579666614,1.0090375510694791,1.0118990734915778,1.0148551028626425,1.0177873527026695,1.020551034141752,1.0229773594208627,1.0248790912972103,1.026060094009992,1.0263300016383063,1.0255252840861426,1.0235381534909131,1.0203549065928699,1.016105431382434,1.0111257066273192,1.0060351755536596,1.0018308621812744
0.08,1.0017041687697323,1.0037201768446729,1.0060294157770004,1.0085938538818988,1.0113528815264012,1.0142206862305216,1.0170845803724646,1.019804823088188,1.0222166139760198,1.0241350890338163,1.0253643175001201,1.02571147937535,1.0250075933194764,1.0231363575317174,1.0200728541868755,1.0159340406783368,1.0110430952054852,1.006009784025206,1.001829053586559
0.085,1.0016100156168326,1.0035257829882718,1.0057324246521295,1.0081963188806038,1.0108617894792256,1.013648246636406,1.016448196908443,1.0191266653668807,1.0215227178064017,1.0234539358239467,1.0247248817117676,1.0251407914203774,1.024527948767742,1.0227624171348215,1.0198090283608743,1.0157727420330285,1.01096467838146,1.0059852776176106,1.0018271270616697
0.09,1.0015259519008057,1.0033516533419051,1.005465521952926,1.0078378856776413,1.0104175422572326,1.0131286958219219,1.015868682796921,1.0185070297421153,1.0208865387148214,1.0228272719529703,1.0241345068962855,1.0246119533529086,1.0240817639635553,1.0224131220259574,1.0195614498150536,1.0156205354774002,1.0108901137192636,1.005961637305003,1.0018251209585043
0.095,1.0014504273525517,1.0031947318672627,1.005224256423277,1.0075128831029787,1.0100134835076995,1.0126546767847564,1.0153383007822632,1.017938137029638,1.0203005906211386,1.0222482128339725,1.023587167852173,1.0241199845041804,1.0236651970794184,1.0220857616551997,1.0193284289919584,1.0154765519102358,1.0108190904472452,1.0059388340379836,1.0018230636508216
0.1,1.0013821948337092,1.0030525516107933,1.005005022319514,1.007216701013546,1.0096441828283134,1.0122201655697012,1.0148506917989817,1.017413568945337,1.0197586721356358,1.0217110310323194,1.0230778290954157,1.0236607012505032,1.0232750022833783,1.021778029651993,1.0191085144317333,1.015340033161515,1.0107513278743965,1.0059168333747988,1.0018209762957893
0.105,1.0013202395681098,1.0029230987715883,1.0048048666373623,1.0069455513699799,1.0093051632446532,1.011820178906151,1.0144005769672684,1.016927978247046,1.0192555973492088,1.0212109180783202,1.0226022452044443,1.0232305599824425,1.0229084157135406,1.0214879495164806,1.018900451659696,1.015210315200748,1.0106865730221144,1.0058955983875841,1.0018188747604837
0.11,1.0012637273365381,1.0028047128344026,1.004621346963897,1.0066962913955921,1.0089926987210713,1.0114505561095088,1.0139835343589017,1.0164768706477427,1.018786992327494,1.0207438034833203,1.0221568082315031,1.0228265362694184,1.022563066979683,1.021213816257057,1.0187031502632193,1.01508681408912,1.0106245980058037,1.0058750914818992,1.0018167709881762
0.115,1.0012119659555103,1.002696012059991,1.004452425058101,1.0064662907195543,1.0087036614875473,1.0111077940277962,1.0135958294040825,1.0160564384587263,1.018349139202094,1.020306215429294,1.0217384296265106,1.0224460307762493,1.022236909728905,1.0209541501215238,1.018515657356585,1.0149690142536558,1.0105651974403056,1.0058552755232282,1.0018146739816485
0.12,1.0011643762259015,1.0025958371143717,1.004296386079208,1.006253330208084,1.0084354053895128,1.010788920494635,1.0132342843949929,1.0156634320991635,1.0179388552652642,1.01989517226379,1.0213444478236477,1.0220867952133526,1.021928166619095,1.0207076595900673,1.0183371360531817,1.0148564586962514,1.0105081860020255,1.0058361145175727,1.0018125905202584
0.125,1.001120469740191,1.002503207877847,1.0041517765121886,1.0060555239740678,1.0081856756785705,1.0104913961478363,1.0128961768984894,1.0152950597169241,1.0175533981623508,1.0195080970715318,1.0209725551559001,1.0217468734722912,1.0216352853029267,1.0204732115285606,1.0181668478856087,1.0147487408027667,1.0104533962042537,1.0058175740036102,1.0018105256890586
0.13,1.0010798317292513,1.002417289967653,1.0040173559159724,1.0058712585767833,1.0079525384768386,1.0102130374249716,1.0125791598276581,1.0149489079489584,1.0171903907880453,1.0191427497452503,1.020620739498741,1.0214245544012017,1.0213569029138425,1.0202498069276447,1.0180041383578144,1.0146454974712635,1.0104006764013587,1.005799621258033,1.0018084832734055
0.135,1.0010421076611702,1.0023373685133763,1.0038920590227414,1.0056991451328126,1.0077343250632085,1.0099519555641132,1.012281197936879,1.0146228787672702,1.0168477612316371,1.0187971724761251,1.020287237260787,1.0211183335953375,1.0210918171808085,1.020036561036777,1.0178484249978577,1.0145464033273994,1.01034988901643,1.005782225380326,1.0018064660560846
0.14,1.0010069926675038,1.0022628274127459,1.0037749656804085,1.0055379812376501,1.0075295874548484,1.0097065078380538,1.0120005169092166,1.0143151386985068,1.0165236943389186,1.0184696456424527,1.0199704952039972,1.020826882237269,1.0208389627582226,1.0198326869844687,1.0176991874198995,1.0144511658369633,1.0103009089767774,1.005765357300513,1.001804476042978
0.145,1.0009742231240513,1.0021931327742999,1.0036652768028675,1.0053867204223295,1.0073370626877498,1.0094752582368343,1.0117355621978867,1.0140240776577956,1.0162165923297952,1.0181586518330212,1.0196691391986998,1.0205490214992876,1.0205973916935942,1.0196374821851384,1.017555959010676,1.0143595211605079,1.0102536223375134,1.0057489897386584,1.0018025146357994
0.15,1.000943569890361,1.0021278195914018,1.0035622949685115,1.0052444474548123,1.0071556438625822,1.009256945518036,1.0114849654951166,1.0137482753225555,1.0159250425398192,1.0178628462912749,1.0193819484726077,1.0202837013710935,1.0203662572042138,1.0194503169895905,1.017418319937357,1.0142712306236616,1.0102079250725433,1.0057330971351897,1.0018005827652448
0.155,1.0009148328384934,1.0020664809337385,1.003465408648767,1.0051103582168923,1.0069843564998417,1.0090504570539434,1.0112475172180264,1.0134864734708375,1.015647790813628,1.0175810324695924,1.0191078342475304,1.0200299830357273,1.0201448001196993,1.0192706251543342,1.0172858912365426,1.0141860776999907,1.0101637220130366,1.0057176555646885,1.0017986809942763
0.16,1.0008878363927831,1.0020087591173854,1.0033740792960797,1.0049837431936883,1.0068223390968989,1.0088548072776589,1.0110221437801554,1.0132375530760196,1.0153837194179587,1.017312141682078,1.0188458219067282,1.0197870241112938,1.0199323374872609,1.0190978957949386,1.0171583297928177,1.0141038654220955,1.0101209259150168,1.0057026426414941,1.001796809598695
0.165,1.0008624258689638,1.0019543384426324,1.003287830702585,1.0048639738382623,1.0066688270367667,1.0086691198061901,1.010807888698418,1.013000515223011,1.0151318285955058,1.0170552160683375,1.0185950360233336,1.0195540662231253,1.0197282529429956,1.0189316665576769,1.017035324053185,1.0140244141518457,1.0100794566395859,1.0056880374225825,1.0017949686303067
0.17,1.000838464450214,1.001902939183555,1.0032062401755577,1.004750491241539,1.006523139190124,1.008492612524738,1.0106038967959714,1.0127744651165027,1.0148912210720673,1.0168093942501935,1.018354687722597,1.0193304244832202,1.0195319885341743,1.0187715177970873,1.016916590353387,1.0139475596529353,1.0100392404312066,1.0056738203112394,1.0017931579666628
0.17500000000000002,1.000815830674374,1.0018543125841815,1.0031289311767733,1.0046427966635465,1.0063846666964569,1.0083245850719982,1.0104094009208495,1.0125585986075913,1.014661088974823,1.0165738991926,1.0181240639597318,1.019115478540062,1.0193430377406065,1.018617067588656,1.0168018697555359,1.0138731514188952,1.010000209281287,1.0056599729637303,1.001791377350376
0.18,1.0007944163341878,1.0018082366695518,1.003055567149267,1.0045404435773873,1.0062528635197396,1.008164408284718,1.0102237107218286,1.0123521907842807,1.0144407027311388,1.016348027879549,1.0179025183792818,1.0189086649287933,1.0191609394923586,1.0184679674384272,1.0166909253150196,1.0138010512177662,1.009962300365979,1.0056464782002843,1.0017896264202992
0.185,1.0007741247134103,1.0017645127206447,1.0029858463132366,1.0044430309502124,1.0061272384580089,1.0080115152506552,1.0100462031165443,1.0121545862632675,1.0142294016035533,1.0161311424928883,1.0176894634874063,1.018709470503946,1.0189852730196423,1.0183238985770808,1.0165835397094323,1.0137311318211875,1.009925455548595,1.00563331992112,1.0017879047363145
0.19,1.000754869097669,1.00172296229335,1.0029194972576003,1.0043501975416145,1.0060073483509664,1.0078653936893889,1.0098763141594265,1.011965190891865,1.0140265855837969,1.0159226628422988,1.0174843639197828,1.018517426777975,1.0188156534011938,1.018184568746457,1.0164795131741295,1.0136632758910284,1.0098896209383343,1.0056204830278332,1.0017862117990808
0.195,1.0007365715113696,1.0016834246857957,1.002856275188396,1.004261617043417,1.0058927922801244,1.007725579435256,1.0097135320736577,1.011783464624815,1.0138317084214281,1.015722059842051,1.0172867306283042,1.0183321050213576,1.0186517277016287,1.018049709402835,1.0163786616985586,1.0135973750010572,1.0098547464981593,1.0056079533502176,1.0017845470657922
0.2,1.000719161641559,1.0016457547771371,1.0027959587222843,1.004176993918918,1.0057832065954682,1.0075916508396687,1.009557391255934,1.0116089153848187,1.0136442716043261,1.0155288498677582,1.017096115841869,1.018153112005899,1.0184931716076573,1.0179190732744057,1.0162808154452307,1.0135333287747554,1.0098207856956356,1.0055957175784072,1.0017829099627555
0.20500000000000002,1.000702575917214,1.0016098211756261,1.0027383471346616,1.0040960598264248,1.0056782606337253,1.0074632239440717,1.0094074670980493,1.0114410937505594,1.0134638191413794,1.0153425898562318,1.0169121086822641,1.0179800862936337,1.0183396864885823,1.0177924322209686,1.0161858173595053,1.0134710441233468,1.009787695191398,1.0055837632001376,1.0017812998954363
