t,S_alpha=0.9,I_alpha=0.9,R_alpha=0.9,S_alpha=0.8,I_alpha=0.8,R_alpha=0.8,S_alpha=0.7,I_alpha=0.7,R_alpha=0.7,S_alpha=0.6,I_alpha=0.6,R_alpha=0.6
5.0,0.23670818990846915,0.22020390340075557,0.5492618263257055,0.26639555065584486,0.21286394583249624,0.5379015501946279,0.2943227352316984,0.20719488619115056,0.5246141414044307,0.3200752698266292,0.20231187614684,0.5080775054824785
5.5,0.22542244206467013,0.20840393373706756,0.572318676331316,0.25762213437457376,0.20287258727822613,0.5564231526955616,0.2876199266418935,0.19884362157266502,0.5390501950598879,0.3150671216709008,0.19547757353888928,0.5189111313135509
6.0,0.21553012439560826,0.19690789608292614,0.5936784895327029,0.24994095722366869,0.1933231324999235,0.5734285392252251,0.2817483511469108,0.1909901318368392,0.5522146821328522,0.3106666968413738,0.18913634645603034,0.5287509569749272
6.5,0.20684260543007418,0.18580182698704126,0.6134441584992156,0.24319053310723746,0.18423320721483769,0.58905954595366,0.27657487507555495,0.18360769492270634,0.5642588652093797,0.30677035115940415,0.1832366883475776,0.53773421986315
7.0,0.1991986781501775,0.17514480148789352,0.6317179741551228,0.23723758449495,0.17560750915763174,0.6034429746538059,0.2719928439046647,0.17666820576924452,0.5753105894423545,0.30329707927980254,0.17773389913831567,0.5459726439115831
7.5,0.19246056928144012,0.16497449016183127,0.6486001161103885,0.23197135701774677,0.16744155191935914,0.6166925224453277,0.2679157922356793,0.17014344456989694,0.585478916685337,0.300182550835426,0.17258904381732898,0.5535584069855516
8.0,0.1865104564718826,0.15531181237597114,0.6641875151773527,0.22729923693093745,0.15972445657879472,0.628910347168604,0.2642728861256535,0.16400586096845476,0.594857610437609,0.29737496585497347,0.16776807855882447,0.5605684349615521
8.5,0.18124746124950908,0.14616477247093904,0.678573043897163,0.22314333307259138,0.15244102774949864,0.640188381210938,0.26100555696358135,0.15822904238609087,0.6035278177851494,0.29483210506505,0.16324112142813876,0.5670675649271888
9.0,0.1765850748850597,0.13753158178924024,0.6918449806307037,0.21943778496175476,0.14557329115585746,0.6506094593597874,0.2580649740432223,0.1527879753866156,0.6115601725961197,0.292519186737858,0.15898184436673715,0.5731109222483133
9.5,0.17244896902761256,0.1294031715514598,0.7040866934589117,0.21612662492973678,0.13910162588856614,0.6602483010919327,0.2554101192964891,0.1476591716306786,0.6190164707280323,0.2904072810604503,0.15496696560302575,0.5787457378407044
10.0,0.16877514222834653,0.12176519553465279,0.7153764956117996,0.213162067612297,0.13300559167757114,0.6691723738716463,0.25300630188896595,0.14282070591549628,0.6259510218475309,0.28847211802362677,0.1511758247838713,0.5840127584430056
10.5,0.1655083557335399,0.11459961138362934,0.725787631270415,0.21050313215136102,0.12726452689940837,0.6774426561499781,0.25082399904231883,0.13825219804624045,0.6324117524279216,0.28669317825869656,0.1475900261600095,0.5889473555637366
11.0,0.1626008159125555,0.10788591775660998,0.7353883578127335,0.20811452550968643,0.12185797450709816,0.685114314072335,0.24883794209593846,0.13393475983570086,0.6384411143254181,0.2850529907058338,0.14419313781754636,0.5935804077460382
