t,exact,h=1,h=0.5,h=0.25,h=0.125
0.0,1.0,0.5,0.5,0.5,0.5
0.001001001001001001,0.9830651723380391,,,,
0.002002002002002002,0.9707392536868495,,,,
0.003003003003003003,0.9598041996481637,,,,
0.004004004004004004,0.9497242266718212,,,,
0.005005005005005005,0.9402609228902021,,,,
0.006006006006006006,0.931279509730203,,,,
0.007007007007007007,0.9226934918780653,,,,
0.008008008008008008,0.9144427317028516,,,,
0.009009009009009009,0.9064830292682302,,,,
0.01001001001001001,0.8987805422622633,,,,
0.011011011011011011,0.8913085317919638,,,,
0.012012012012012012,0.8840453385591348,,,,
0.013013013013013013,0.8769730592113835,,,,
0.014014014014014014,0.8700766447675161,,,,
0.015015015015015015,0.8633432656393232,,,,
0.016016016016016016,0.8567618516870582,,,,
0.017017017017017015,0.8503227510020072,,,,
0.018018018018018018,0.8440174714991786,,,,
0.01901901901901902,0.8378384816783853,,,,
0.02002002002002002,0.831779054561986,,,,
0.02102102102102102,0.825833143730685,,,,
0.022022022022022022,0.8199952836186669,,,,
0.023023023023023025,0.8142605084164785,,,,
0.024024024024024024,0.8086242854376801,,,,
0.025025025025025023,0.8030824598642011,,,,
0.026026026026026026,0.7976312085418008,,,,
0.02702702702702703,0.7922670010458218,,,,
0.028028028028028028,0.7869865666411763,,,,
0.029029029029029027,0.7817868660613978,,,,
0.03003003003003003,0.7766650672584923,,,,
0.031031031031031032,0.7716185244483003,,,,
0.03203203203203203,0.7666447599093065,,,,
0.03303303303303303,0.7617414480963727,,,,
0.03403403403403403,0.7569064017120855,,,,
0.035035035035035036,0.752137559442597,,,,
0.036036036036036036,0.7474329751159802,,,,
0.037037037037037035,0.7427908080821494,,,,
0.03803803803803804,0.7382093146465322,,,,
0.03903903903903904,0.7336868404166204,,,,
0.04004004004004004,0.7292218134425494,,,,
0.04104104104104104,0.7248127380509657,,,,
0.04204204204204204,0.7204581892864164,,,,
0.043043043043043044,0.7161568078869249,,,,
0.044044044044044044,0.7119072957308136,,,,
0.04504504504504504,0.7077084117005252,,,,
0.04604604604604605,0.7035589679165449,,,,
0.04704704704704705,0.6994578263007134,,,,
0.04804804804804805,0.6954038954334956,,,,
0.04904904904904905,0.6913961276742533,,,,
0.050050050050050046,0.6874335165174095,,,,
0.05105105105105105,0.6835150941606816,,,,
0.05205205205205205,0.6796399292644052,,,,
0.05305305305305305,0.6758071248834093,,,,
0.05405405405405406,0.6720158165550301,,,,
0.055055055055055056,0.6682651705286984,,,,
0.056056056056056056,0.6645543821241348,,,,
0.057057057057057055,0.6608826742065886,,,,
0.058058058058058054,0.6572492957687981,,,,
0.05905905905905906,0.6536535206104119,,,,
0.06006006006006006,0.650094646106573,,,,
0.06106106106106106,0.6465719920581973,,,,
0.062062062062062065,0.6430848996172241,,,,
0.06306306306306306,0.6396327302807701,,,,
0.06406406406406406,0.6362148649486973,,,,
0.06506506506506507,0.6328307030396315,,,,
0.06606606606606606,0.6294796616609212,,,,
0.06706706706706707,0.6261611748284447,,,,
0.06806806806806806,0.6228746927325413,,,,
0.06906906906906907,0.6196196810466708,,,,
0.07007007007007007,0.6163956202757055,,,,
0.07107107107107107,0.6132020051410213,,,,
0.07207207207207207,0.6100383439998034,,,,
0.07307307307307308,0.606904158296186,,,,
0.07407407407407407,0.6037989820420565,,,,
0.07507507507507508,0.6007223613255176,,,,
0.07607607607607608,0.5976738538451725,,,,
0.07707707707707707,0.5946530284685348,,,,
0.07807807807807808,0.591659464813009,,,,
0.07907907907907907,0.5886927528479917,,,,
0.08008008008008008,0.5857524925167698,,,,
0.08108108108108109,0.5828382933769797,,,,
0.08208208208208208,0.5799497742584908,,,,
0.08308308308308308,0.5770865629376555,,,,
0.08408408408408408,0.5742482958269453,,,,
0.08508508508508508,0.5714346176790637,,,,
0.08608608608608609,0.5686451813046923,,,,
0.08708708708708708,0.5658796473030804,,,,
0.08808808808808809,0.5631376838047467,,,,
0.0890890890890891,0.5604189662256124,,,,
0.09009009009009009,0.5577231770319269,,,,
0.09109109109109109,0.5550500055153942,,,,
0.0920920920920921,0.5523991475779421,,,,
0.09309309309309309,0.5497703055256181,,,,
0.0940940940940941,0.547163187871126,,,,
0.09509509509509509,0.5445775091445484,,,,
0.0960960960960961,0.5420129897118263,,,,
0.0970970970970971,0.5394693556006029,,,,
0.0980980980980981,0.5369463383330515,,,,
0.0990990990990991,0.5344436747653349,,,,
0.10010010010010009,0.5319611069333716,,,,
0.1011011011011011,0.5294983819045925,,,,
0.1021021021021021,0.5270552516353969,,,,
0.1031031031031031,0.5246314728340333,,,,
0.1041041041041041,0.522226806828645,,,,
0.10510510510510511,0.5198410194402353,,,,
0.1061061061061061,0.5174738808603239,,,,
0.10710710710710711,0.5151251655330735,,,,
0.10810810810810811,0.5127946520416831,,,,
0.1091091091091091,0.5104821229988548,,,,
0.11011011011011011,0.5081873649411466,,,,
0.1111111111111111,0.5059101682270433,,,,
0.11211211211211211,0.5036503269385736,,,,
0.11311311311311312,0.5014076387863268,,,,
0.11411411411411411,0.4991819050177137,,,,
0.11511511511511512,0.4969729303283357,,,,
0.11611611611611611,0.4947805227763303,,,,
0.11711711711711711,0.4926044936995647,,,,
0.11811811811811812,0.4904446576355607,,,,
0.11911911911911911,0.48830083224403587,,,,
0.12012012012012012,0.4861728382319533,,,,
0.12112112112112113,0.48406049928097883,,,,
0.12212212212212212,0.4819636419772489,,,,
0.12312312312312312,0.47988209574335244,,,,
0.12412412412412413,0.4778156927724445,,,,
0.125,,,,,0.12998330047823414
