t,h=0.005,h=0.00125,h=0.0003125,h=7.8125e-05
0.0,1.0,1.0,1.0,1.0
7.8125e-05,,,,1.0641895835477562
0.00015625,,,,1.0560370721753107
0.000234375,,,,1.0492772419664047
0.0003125,,,1.0641895835477562,1.0443123957507292
0.000390625,,,,1.0405450779414722
0.00046875,,,,1.03757904360035
0.000546875,,,,1.0351716875506596
0.000625,,,1.0560370721753107,1.0331696966893342
0.000703125,,,,1.031471954356885
0.00078125,,,,1.0300090837757616
0.000859375,,,,1.0287318320488994
0.0009375,,,1.0492772419664047,1.0276041992690772
0.001015625,,,,1.0265992089627094
0.00109375,,,,1.0256962087050392
0.001171875,,,,1.0248790912972103
0.00125,,1.0641895835477562,1.0443123957507292,1.0241350890338163
0.001328125,,,,1.0234539358239467
0.00140625,,,,1.0228272719529703
0.001484375,,,,1.0222482128339725
0.0015625,,,1.0405450779414722,1.0217110310323194
0.001640625,,,,1.0212109180783202
0.00171875,,,,1.0207438034833203
0.001796875,,,,1.020306215429294
0.001875,,,1.03757904360035,1.01989517226379
0.001953125,,,,1.0195080970715318
0.00203125,,,,1.0191427497452503
0.002109375,,,,1.0187971724761251
0.0021875,,,1.0351716875506596,1.0184696456424527
0.002265625,,,,1.0181586518330212
0.00234375,,,,1.0178628462912749
0.002421875,,,,1.0175810324695924
0.0025,,1.0560370721753107,1.0331696966893342,1.017312141682078
0.002578125,,,,1.0170552160683375
0.00265625,,,,1.0168093942501935
0.0027343750000000003,,,,1.0165738991926
0.0028125,,,1.031471954356885,1.016348027879549
0.002890625,,,,1.0161311424928883
0.00296875,,,,1.0159226628422988
0.003046875,,,,1.015722059842051
0.003125,,,1.0300090837757616,1.0155288498677582
0.0032031250000000002,,,,1.0153425898562318
0.00328125,,,,1.0151628730355549
0.003359375,,,,1.0149893251917914
0.0034375,,,1.0287318320488994,1.0148216013944467
0.003515625,,,,1.0146593831155302
0.00359375,,,,1.0145023756875124
0.0036718750000000002,,,,1.0143503060540786
0.00375,,1.0492772419664047,1.0276041992690772,1.0142029207746335
0.003828125,,,,1.014059984249431
0.00390625,,,,1.0139212771370614
0.003984375,,,,1.0137865949401512
0.0040625,,,1.0265992089627094,1.0136557467385463
0.004140625,,,,1.0135285540521406
0.00421875,,,,1.0134048498179686
0.004296875,,,,1.0132844774682328
0.004375,,,1.0256962087050392,1.013167290097705
0.0044531250000000005,,,,1.013053149710447
0.00453125,,,,1.012941926537068
0.004609375,,,,1.0128334984148488
0.0046875,,,1.0248790912972103,1.0127277502240049
0.004765625,,,,1.012624573374173
0.00484375,,,,1.012523865335929
0.004921875,,,,1.0124255292127329
0.005,1.0641895835477562,1.0443123957507292,1.0241350890338163,1.0123294733492472
0.005078125,,,,1.0122356109724373
0.00515625,,,,1.0121438598622468
0.005234375,,,,1.0120541420490268
0.0053125,,,1.0234539358239467,1.0119663835351767
0.0053906250000000005,,,,1.011880514038737
0.0054687500000000005,,,,1.0117964667569395
0.005546875,,,,1.0117141781478733
0.005625,,,1.0228272719529703,1.0116335877286726
0.005703125,,,,1.0115546378887619
0.00578125,,,,1.0114772737168445
0.005859375,,,,1.0114014428404607
0.0059375,,,1.0222482128339725,1.0113270952770514
0.006015625,,,,1.0112541832955526
0.00609375,,,,1.0111826612876722
0.006171875,,,,1.0111124856480442
0.00625,,1.0405450779414722,1.0217110310323194,1.0110436146625434
0.006328125,,,,1.0109760084041282
0.0064062500000000005,,,,1.0109096286355987
0.0064843750000000006,,,,1.0108444387187547
0.0065625,,,1.0212109180783202,1.0107804035294397
0.006640625,,,,1.0107174893780475
0.00671875,,,,1.0106556639350663
0.006796875,,,,1.0105948961612898
0.006875,,,1.0207438034833203,1.0105351562423595
0.006953125,,,,1.0104764155273152
0.00703125,,,,1.0104186464708784
0.007109375,,,,1.0103618225791884
0.0071875,,,1.020306215429294,1.0103059183587686
0.007265625,,,,1.0102509092684766
0.0073437500000000005,,,,1.0101967716742517
0.0074218750000000005,,,,1.010143482806464
0.0075,,1.03757904360035,1.01989517226379,1.010091020719682
0.007578125,,,,1.0100393642547154
0.00765625,,,,1.009988493002764
0.007734375,,,,1.0099383872715455
